ligand_id,source_file,casf_explicit_isomeric_smiles,casf_explicit_nonisomeric_smiles,casf_heavy_isomeric_smiles,casf_heavy_nonisomeric_smiles,chembl3d_group,chembl3d_mol_id,chembl3d_isomeric_smiles,conformer_count
1bcu_1bcu_conf0,1bcu_1bcu_conf0.mol2,[H]c1c(N([H])[H])c([H])c2nc3c([H])c(N([H])[H])c([H])c([H])c3c([H])c2c1[H],[H]c1c(N([H])[H])c([H])c2nc3c([H])c(N([H])[H])c([H])c([H])c3c([H])c2c1[H],Nc1ccc2cc3ccc(N)cc3nc2c1,Nc1ccc2cc3ccc(N)cc3nc2c1,027,CHEMBL55400_0,Nc1ccc2cc3ccc(N)cc3nc2c1,1
1c5z_1c5z_conf0,1c5z_1c5z_conf0.mol2,[H]c1c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c1[H],[H]c1c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c1[H],NC(=[NH2+])c1ccccc1,NC(=[NH2+])c1ccccc1,018,CHEMBL20936_0,NC(=[NH2+])c1ccccc1,1
1lpg_1lpg_conf0,1lpg_1lpg_conf0.mol2,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c3c(c2[H])c([H])c(C(=O)N([H])C([H])([H])c2c([H])c([H])c([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])n3C([H])([H])c2c([H])c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c2[H])c([H])c1[H],[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c3c(c2[H])c([H])c(C(=O)N([H])C([H])([H])c2c([H])c([H])c([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])n3C([H])([H])c2c([H])c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c2[H])c([H])c1[H],C[N+](C)(C)c1ccc(CNC(=O)c2cc3cc(OCc4ccccc4)ccc3n2Cc2cccc(C(N)=[NH2+])c2)cc1,C[N+](C)(C)c1ccc(CNC(=O)c2cc3cc(OCc4ccccc4)ccc3n2Cc2cccc(C(N)=[NH2+])c2)cc1,078,CHEMBL540898_0,C[N+](C)(C)c1ccc(CNC(=O)c2cc3cc(OCc4ccccc4)ccc3n2Cc2cccc(C(N)=[NH2+])c2)cc1,193
1mq6_1mq6_conf0,1mq6_1mq6_conf0.mol2,[H]c1nc(N([H])C(=O)c2c([H])c(Cl)c([H])c(OC([H])([H])[H])c2N([H])C(=O)c2sc([H])c(C([H])([H])N(C3=NC([H])([H])C([H])([H])O3)C([H])([H])[H])c2Cl)c([H])c([H])c1Cl,[H]c1nc(N([H])C(=O)c2c([H])c(Cl)c([H])c(OC([H])([H])[H])c2N([H])C(=O)c2sc([H])c(C([H])([H])N(C3=NC([H])([H])C([H])([H])O3)C([H])([H])[H])c2Cl)c([H])c([H])c1Cl,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCO2)c1Cl,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCO2)c1Cl,056,CHEMBL173994_1,COc1cc(Cl)cc(C(=O)Nc2ccc(Cl)cn2)c1NC(=O)c1scc(CN(C)C2=NCCO2)c1Cl,12
1nc3_1nc3_conf0,1nc3_1nc3_conf0.mol2,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(c2nn([H])c3c(N([H])[H])nc([H])nc23)[C@]([H])(O[H])[C@]1([H])O[H],[H]OC([H])([H])C1([H])OC([H])(c2nn([H])c3c(N([H])[H])nc([H])nc23)C([H])(O[H])C1([H])O[H],Nc1ncnc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)n[nH]c12,Nc1ncnc2c(C3OC(CO)C(O)C3O)n[nH]c12,032,CHEMBL273712_0,Nc1ncnc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)n[nH]c12,1567
1o3f_1o3f_conf0,1o3f_1o3f_conf0.mol2,[H]Oc1c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c([H])c1-c1c([H])c2c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c([H])c2n1[H],[H]Oc1c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c([H])c1-c1c([H])c2c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c([H])c2n1[H],NC(=[NH2+])c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3O)cc2c1,NC(=[NH2+])c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3O)cc2c1,043,CHEMBL96433_0,NC(=[NH2+])c1ccc2[nH]c(-c3cccc(-c4ccccc4)c3O)cc2c1,31
1o5b_1o5b_conf0,1o5b_1o5b_conf0.mol2,[H]c1c([H])c(I)c2c([H])c(C(N([H])[H])=[N+]([H])[H])sc2c1[H],[H]c1c([H])c(I)c2c([H])c(C(N([H])[H])=[N+]([H])[H])sc2c1[H],NC(=[NH2+])c1cc2c(I)cccc2s1,NC(=[NH2+])c1cc2c(I)cccc2s1,021,CHEMBL60088_0,NC(=[NH2+])c1cc2c(I)cccc2s1,1
1owh_1owh_conf0,1owh_1owh_conf0.mol2,[H]c1c([H])c(C([H])([H])[N+]([H])([H])[H])c([H])c([H])c1N([H])C(=O)c1c([H])c([H])c2c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c([H])c2c1[H],[H]c1c([H])c(C([H])([H])[N+]([H])([H])[H])c([H])c([H])c1N([H])C(=O)c1c([H])c([H])c2c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c([H])c2c1[H],NC(=[NH2+])c1ccc2cc(C(=O)Nc3ccc(C[NH3+])cc3)ccc2c1,NC(=[NH2+])c1ccc2cc(C(=O)Nc3ccc(C[NH3+])cc3)ccc2c1,044,CHEMBL324168_0,NC(=[NH2+])c1ccc2cc(C(=O)Nc3ccc(C[NH3+])cc3)ccc2c1,12
1p1n_1p1n_conf0,1p1n_1p1n_conf0.mol2,[H]C([H])=C(C([H])([H])[H])[C@@]1([H])C([H])([H])[N+]([H])([H])[C@]([H])(C(=O)[O-])[C@@]1([H])C([H])([H])C(=O)[O-],[H]C([H])=C(C([H])([H])[H])C1([H])C([H])(C([H])([H])C(=O)[O-])C([H])(C(=O)[O-])[N+]([H])([H])C1([H])[H],C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(=O)[O-],C=C(C)C1C[NH2+]C(C(=O)[O-])C1CC(=O)[O-],029,CHEMBL27527_0,C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(=O)[O-],23
1pxn_1pxn_conf0,1pxn_1pxn_conf0.mol2,[H]Oc1c([H])c([H])c(N([H])c2nc([H])c([H])c(-c3sc(N([H])C([H])([H])[H])nc3C([H])([H])[H])n2)c([H])c1[H],[H]Oc1c([H])c([H])c(N([H])c2nc([H])c([H])c(-c3sc(N([H])C([H])([H])[H])nc3C([H])([H])[H])n2)c([H])c1[H],CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1,CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1,037,CHEMBL47590_0,CNc1nc(C)c(-c2ccnc(Nc3ccc(O)cc3)n2)s1,200
