ligand_id,source_file,casf_explicit_isomeric_smiles,casf_explicit_nonisomeric_smiles,casf_heavy_isomeric_smiles,casf_heavy_nonisomeric_smiles,chembl3d_group,chembl3d_mol_id,chembl3d_isomeric_smiles,conformer_count
1ado_1ado_conf0,1ado_1ado_conf0.mol2,[H]OC([H])([H])C(=O)C([H])([H])OP(=O)([O-])[O-],[H]OC([H])([H])C(=O)C([H])([H])OP(=O)([O-])[O-],O=C(CO)COP(=O)([O-])[O-],O=C(CO)COP(=O)([O-])[O-],015,CHEMBL1161998_0,O=C(CO)COP(=O)([O-])[O-],7
1ai4_1ai4_conf0,1ai4_1ai4_conf0.mol2,[H]Oc1c([H])c([H])c(C([H])([H])C(=O)[O-])c([H])c1O[H],[H]Oc1c([H])c([H])c(C([H])([H])C(=O)[O-])c([H])c1O[H],O=C([O-])Cc1ccc(O)c(O)c1,O=C([O-])Cc1ccc(O)c(O)c1,019,CHEMBL1284_0,O=C([O-])Cc1ccc(O)c(O)c1,8
1ai5_1ai5_conf0,1ai5_1ai5_conf0.mol2,[H]c1c([H])c([N+](=O)[O-])c([H])c(C([H])([H])C(=O)[O-])c1[H],[H]c1c([H])c([N+](=O)[O-])c([H])c(C([H])([H])C(=O)[O-])c1[H],O=C([O-])Cc1cccc([N+](=O)[O-])c1,O=C([O-])Cc1cccc([N+](=O)[O-])c1,019,CHEMBL139020_0,O=C([O-])Cc1cccc([N+](=O)[O-])c1,2
1azm_1azm_conf0,1azm_1azm_conf0.mol2,[H]N(C(=O)C([H])([H])[H])c1nnc(S(=O)(=O)N([H])[H])s1,[H]N(C(=O)C([H])([H])[H])c1nnc(S(=O)(=O)N([H])[H])s1,CC(=O)Nc1nnc(S(N)(=O)=O)s1,CC(=O)Nc1nnc(S(N)(=O)=O)s1,019,CHEMBL20_0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,7
1bjv_1bjv_conf0,1bjv_1bjv_conf0.mol2,[H]c1c([H])c([H])c(Oc2c([H])c([H])c(N([H])C(=O)N([H])c3c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c3[H])c([H])c2[H])c([H])c1[H],[H]c1c([H])c([H])c(Oc2c([H])c([H])c(N([H])C(=O)N([H])c3c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c3[H])c([H])c2[H])c([H])c1[H],NC(=[NH2+])c1ccc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)cc1,NC(=[NH2+])c1ccc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)cc1,045,CHEMBL1233097_0,NC(=[NH2+])c1ccc(NC(=O)Nc2ccc(Oc3ccccc3)cc2)cc1,74
1bm7_1bm7_conf0,1bm7_1bm7_conf0.mol2,[H]c1c([H])c([H])c(N([H])c2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c(C(=O)[O-])c1[H],[H]c1c([H])c([H])c(N([H])c2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c(C(=O)[O-])c1[H],O=C([O-])c1ccccc1Nc1cccc(C(F)(F)F)c1,O=C([O-])c1ccccc1Nc1cccc(C(F)(F)F)c1,029,CHEMBL23588_0,O=C([O-])c1ccccc1Nc1cccc(C(F)(F)F)c1,110
1bnn_1bnn_conf0,1bnn_1bnn_conf0.mol2,[H]c1c([H])c(OC([H])([H])[H])c([H])c(N2C([H])([H])C([H])([H])c3c(sc(S(=O)(=O)N([H])[H])c3[H])S2(=O)=O)c1[H],[H]c1c([H])c(OC([H])([H])[H])c([H])c(N2C([H])([H])C([H])([H])c3c(sc(S(=O)(=O)N([H])[H])c3[H])S2(=O)=O)c1[H],COc1cccc(N2CCc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1,COc1cccc(N2CCc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1,037,CHEMBL331858_0,COc1cccc(N2CCc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1,172
1bty_1bty_conf0,1bty_1bty_conf0.mol2,[H]c1c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c1[H],[H]c1c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c1[H],NC(=[NH2+])c1ccccc1,NC(=[NH2+])c1ccccc1,018,CHEMBL20936_0,NC(=[NH2+])c1ccccc1,1
1bzj_1bzj_conf0,1bzj_1bzj_conf0.mol2,[H]c1c(C(F)(F)P(=O)([O-])[O-])c([H])c2c([H])c([H])c(C(=O)[O-])c([H])c2c1[H],[H]c1c(C(F)(F)P(=O)([O-])[O-])c([H])c2c([H])c([H])c(C(=O)[O-])c([H])c2c1[H],O=C([O-])c1ccc2cc(C(F)(F)P(=O)([O-])[O-])ccc2c1,O=C([O-])c1ccc2cc(C(F)(F)P(=O)([O-])[O-])ccc2c1,026,CHEMBL99447_0,O=C([O-])c1ccc2cc(C(F)(F)P(=O)([O-])[O-])ccc2c1,12
1c1v_1c1v_conf0,1c1v_1c1v_conf0.mol2,[H]c1c(C(N([H])[H])=[N+]([H])[H])c([H])c2c(nc(C([H])([H])c3nc4c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c4n3[H])n2[H])c1[H],[H]c1c(C(N([H])[H])=[N+]([H])[H])c([H])c2c(nc(C([H])([H])c3nc4c([H])c([H])c(C(N([H])[H])=[N+]([H])[H])c([H])c4n3[H])n2[H])c1[H],NC(=[NH2+])c1ccc2nc(Cc3nc4ccc(C(N)=[NH2+])cc4[nH]3)[nH]c2c1,NC(=[NH2+])c1ccc2nc(Cc3nc4ccc(C(N)=[NH2+])cc4[nH]3)[nH]c2c1,043,CHEMBL99951_0,NC(=[NH2+])c1ccc2nc(Cc3nc4ccc(C(N)=[NH2+])cc4[nH]3)[nH]c2c1,34
