mol_id,row_type,family,tier,variant,method,display_label,source,rotatable_bonds,heavy_atoms,conformer_count,clash_cutoff,clash_input_confs,clash_pass_confs,clash_fail_confs,clash_pass_rate,pb_input_confs,pb_pass_confs,pb_fail_confs,pb_pass_rate,pb_check_fail_counts_json,pb_check_fail_rates_json,post_pb_confs,mean_torsion_std_deg,pairwise_mean,pairwise_p90,greedy_clusters_0p5,clusters_per_100_0p5,cluster_entropy_0p5,largest_cluster_fraction_0p5,effective_clusters_0p5,simpson_concentration_0p5,singleton_fraction_0p5,greedy_clusters_1p0,clusters_per_100_1p0,cluster_entropy_1p0,largest_cluster_fraction_1p0,effective_clusters_1p0,simpson_concentration_1p0,singleton_fraction_1p0,greedy_clusters_2p0,clusters_per_100_2p0,cluster_entropy_2p0,largest_cluster_fraction_2p0,effective_clusters_2p0,simpson_concentration_2p0,singleton_fraction_2p0,greedy_clusters_3p0,clusters_per_100_3p0,cluster_entropy_3p0,largest_cluster_fraction_3p0,effective_clusters_3p0,simpson_concentration_3p0,singleton_fraction_3p0,energy_count,energy_min,energy_max,energy_median,energy_std,casf_best_rmsd,casf_median_rmsd,casf_hit_0p25,casf_hit_0p5,casf_hit_0p75,casf_hit_2p0,casf_opt_best_rmsd,casf_opt_median_rmsd,casf_opt_hit_0p25,casf_opt_hit_0p5,casf_opt_hit_0p75,casf_opt_hit_2p0,generated_candidates,finite_rejected,clash_rejected,bond_rejected,stereo_rejected,rmsd_rejected,pre_clash_passed,minimization_input_confs,minimization_failed,minimization_invalid,post_min_clash_rejected,kept_confs,num_target_confs,target_confs,ligand_set
1bcu_1bcu_conf0,generation,loqi_raw,fixed,,loqi_raw_fixed,LOQI,loqi_raw_fixed,2,16,1000,0.7,1000,1000,0,1.0,1000,1000,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1000,116.10225652062732,0.026646381669444337,0.04068950993075147,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1000,38.58458485920845,46.945470355895615,39.2988045035179,0.38499389534820116,0.039432189480323884,0.05643410216053742,1.0,1.0,1.0,1.0,0.04420387632321754,0.053638695515620505,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,1000,1000,1000,core
1bcu_1bcu_conf0,generation,loqi_raw,dynamic,,loqi_raw_dynamic,LOQI,loqi_raw_dynamic,2,16,24,0.7,24,24,0,1.0,24,24,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",24,123.51344506922536,0.026691704094799883,0.040374195053580725,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,24,38.906626020335466,40.01845431672704,39.28636266206743,0.3066100384476054,0.042027690370698964,0.053517936978280466,1.0,1.0,1.0,1.0,0.04659116507689444,0.05149804824319061,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,24,0,0,0,0,24,24,24,core
1bcu_1bcu_conf0,generation,loqi_raw,chembl_count,,loqi_raw_chembl_count,LOQI,loqi_raw_chembl_count,2,16,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,0.0,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,38.82659954950446,38.82659954950446,38.82659954950446,0.0,0.046845594284232746,0.046845594284232746,1.0,1.0,1.0,1.0,0.050711473928712336,0.050711473928712336,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1c5z_1c5z_conf0,generation,loqi_raw,fixed,,loqi_raw_fixed,LOQI,loqi_raw_fixed,1,9,1000,0.7,1000,1000,0,1.0,1000,1000,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1000,129.19016270599764,0.2324084699495687,0.4633323883264661,2.0,0.2,0.9958294764724047,0.538,1.9942267753514737,0.502888,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1000,-1.3946413843881018,3.4988304487146387,0.16679463721978305,0.9424107396922917,0.04022136243945808,0.19569656926727663,1.0,1.0,1.0,1.0,0.06256875929339076,0.21771861854750024,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,1000,1000,1000,core
1c5z_1c5z_conf0,generation,loqi_raw,dynamic,,loqi_raw_dynamic,LOQI,loqi_raw_dynamic,1,9,2,0.7,2,2,0,1.0,2,2,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",2,2.443524080484906,0.025992039707717015,0.025992039707717015,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,2,-0.12291621456801494,0.4572108124225629,0.16714729892727398,0.2900635134952889,0.2693914955795103,0.281057998836275,0.0,1.0,1.0,1.0,0.23302611852468305,0.24364693241655616,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,2,0,0,0,0,2,2,2,core
1c5z_1c5z_conf0,generation,loqi_raw,chembl_count,,loqi_raw_chembl_count,LOQI,loqi_raw_chembl_count,1,9,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,0.0,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,-0.36157882715092704,-0.36157882715092704,-0.36157882715092704,0.0,0.17087558956700322,0.17087558956700322,1.0,1.0,1.0,1.0,0.2256234558734854,0.2256234558734854,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1lpg_1lpg_conf0,generation,loqi_raw,fixed,,loqi_raw_fixed,LOQI,loqi_raw_fixed,13,41,1000,0.7,1000,1000,0,1.0,1000,1000,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1000,94.06995533199675,2.479298016110691,3.533017251649353,512.0,51.2,0.9395835921411626,0.022,351.2251462499718,0.00453,0.673828125,102.0,10.2,0.7724525386645288,0.144,35.60805907950053,0.055526000000000006,0.2647058823529412,13.0,1.3,0.7074289266999699,0.273,6.138125307267738,0.19571800000000003,0.23076923076923078,3.0,0.3,0.7988050464912423,0.507,2.4050652648117445,0.44739399999999996,0.0,1000,76.45538766091825,134.23550338191302,111.14101497227637,11.17855809553868,1.4673053124884001,2.56649308563997,0.0,0.0,0.0,1.0,1.4788888755762497,2.5941757541816735,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,1000,1000,1000,core
1lpg_1lpg_conf0,generation,loqi_raw,dynamic,,loqi_raw_dynamic,LOQI,loqi_raw_dynamic,13,41,266,0.7,266,266,0,1.0,266,266,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",266,94.02275905231518,2.357435240379509,3.4927874583840754,186.0,69.92481203007519,0.9688349877063098,0.022556390977443608,158.04601335307808,0.007857990841766069,0.7634408602150538,53.0,19.924812030075188,0.8312054861015169,0.12781954887218044,27.116120948484113,0.057210695912714125,0.39622641509433965,10.0,3.7593984962406015,0.7947752223253011,0.2781954887218045,6.234120927445329,0.19252077562326866,0.1,3.0,1.1278195488721805,0.8977247293216424,0.45112781954887216,2.6811650480304645,0.3971394652043643,0.0,266,76.9079427967647,134.23550338191302,111.71397843289111,11.390529374372578,1.557087580974509,2.524813540423473,0.0,0.0,0.0,1.0,1.5873769108704654,2.5547843204391434,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,266,0,0,0,0,266,266,266,core
1lpg_1lpg_conf0,generation,loqi_raw,chembl_count,,loqi_raw_chembl_count,LOQI,loqi_raw_chembl_count,13,41,193,0.7,193,193,0,1.0,193,193,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",193,93.27384334049138,2.473755665600083,3.5954153178194237,144.0,74.61139896373057,0.9744578086649777,0.031088082901554404,126.83326848920716,0.009423071760315715,0.7847222222222222,48.0,24.870466321243523,0.8669295385659439,0.12953367875647667,28.67594179041062,0.05162554699455018,0.375,9.0,4.66321243523316,0.7230349676192012,0.34196891191709844,4.897232262413164,0.24803350425514778,0.2222222222222222,3.0,1.5544041450777202,0.8510832105860575,0.5647668393782384,2.5472401369567836,0.43515262154688716,0.0,193,78.38526465106017,130.46389162218054,111.16754177747598,11.14065281508427,1.5366297432883242,2.633929064267374,0.0,0.0,0.0,1.0,1.5527848449581636,2.671764939567294,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,193,0,0,0,0,193,193,193,core
1mq6_1mq6_conf0,generation,loqi_raw,fixed,,loqi_raw_fixed,LOQI,loqi_raw_fixed,9,36,1000,0.7,1000,1000,0,1.0,1000,1000,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1000,90.87163793690122,1.9313652380688497,2.551746576051382,656.0,65.6,0.9715987448898538,0.008,545.6325051769599,0.002316,0.725609756097561,197.0,19.7,0.8965619339153966,0.036,114.05939851506949,0.013023999999999999,0.34517766497461927,9.0,0.9,0.6977566174709544,0.347,4.632645044589262,0.26191,0.1111111111111111,3.0,0.3,0.38147099974925686,0.858,1.5205752665516463,0.7557679999999999,0.0,1000,-43.0330351854587,-0.24880629004674404,-23.764333761936456,6.575530393980501,1.2852034993681563,2.8563360043182504,0.0,0.0,0.0,1.0,1.2160112182874085,2.8235621758029303,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,1000,1000,1000,core
