mol_id,row_type,family,tier,variant,method,display_label,source,rotatable_bonds,heavy_atoms,conformer_count,clash_cutoff,clash_input_confs,clash_pass_confs,clash_fail_confs,clash_pass_rate,pb_input_confs,pb_pass_confs,pb_fail_confs,pb_pass_rate,pb_check_fail_counts_json,pb_check_fail_rates_json,post_pb_confs,mean_torsion_std_deg,pairwise_mean,pairwise_p90,greedy_clusters_0p5,clusters_per_100_0p5,cluster_entropy_0p5,largest_cluster_fraction_0p5,effective_clusters_0p5,simpson_concentration_0p5,singleton_fraction_0p5,greedy_clusters_1p0,clusters_per_100_1p0,cluster_entropy_1p0,largest_cluster_fraction_1p0,effective_clusters_1p0,simpson_concentration_1p0,singleton_fraction_1p0,greedy_clusters_2p0,clusters_per_100_2p0,cluster_entropy_2p0,largest_cluster_fraction_2p0,effective_clusters_2p0,simpson_concentration_2p0,singleton_fraction_2p0,greedy_clusters_3p0,clusters_per_100_3p0,cluster_entropy_3p0,largest_cluster_fraction_3p0,effective_clusters_3p0,simpson_concentration_3p0,singleton_fraction_3p0,energy_count,energy_min,energy_max,energy_median,energy_std,casf_best_rmsd,casf_median_rmsd,casf_hit_0p25,casf_hit_0p5,casf_hit_0p75,casf_hit_2p0,casf_opt_best_rmsd,casf_opt_median_rmsd,casf_opt_hit_0p25,casf_opt_hit_0p5,casf_opt_hit_0p75,casf_opt_hit_2p0,generated_candidates,finite_rejected,clash_rejected,bond_rejected,stereo_rejected,rmsd_rejected,pre_clash_passed,minimization_input_confs,minimization_failed,minimization_invalid,post_min_clash_rejected,kept_confs,num_target_confs,target_confs,ligand_set
1ado_1ado_conf0,generation,nextmol_dmt_l_raw,fixed,,nextmol_dmt_l_raw_fixed,NextMol DMT-L,nextmol_dmt_l_raw_fixed,5,10,746,0.7,746,746,0,1.0,1000,746,254,0.746,"{""all_atoms_connected"":0,""bond_angles"":1,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":254,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":18,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.001,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.254,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.018,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",746,105.00891519161264,0.9005328439477321,1.3518769235494772,31.0,4.1554959785522785,0.8283625397316892,0.13136729222520108,17.19444492391073,0.07470045784847157,0.12903225806451613,4.0,0.5361930294906166,0.9270121238781248,0.43297587131367293,3.615071665957178,0.30275140337384726,0.0,1.0,0.13404825737265416,0.0,1.0,1.0,1.0,0.0,1.0,0.13404825737265416,0.0,1.0,1.0,1.0,0.0,746,-58.37562643616231,73.72611341710433,-46.411783458484635,26.147960570594037,0.6854304428447421,1.0536540161935246,0.0,0.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,1000,0,0,0,0,746,1000,1000,ref
1ado_1ado_conf0,generation,nextmol_dmt_l_raw,dynamic,,nextmol_dmt_l_raw_dynamic,NextMol DMT-L,nextmol_dmt_l_raw_dynamic,5,10,66,0.7,66,66,0,1.0,90,66,24,0.7333333333333333,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":24,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":3,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.26666666666666666,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.03333333333333333,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",66,104.08163402560835,0.9001340206197965,1.3694836019604226,19.0,28.78787878787879,0.9067094367845194,0.16666666666666666,14.436368435469682,0.08585858585858583,0.2631578947368421,3.0,4.545454545454546,0.9395925504687973,0.4696969696969697,2.807369495428813,0.37511478420569333,0.0,1.0,1.5151515151515151,0.0,1.0,1.0,1.0,0.0,1.0,1.5151515151515151,0.0,1.0,1.0,1.0,0.0,66,-54.271036965492826,24.3153832006493,-46.012797133493805,24.423399090025185,0.7894845924811413,1.0304307083126676,0.0,0.0,0.0,1.0,,,,,,,1000,0,0,0,0,0,90,0,0,0,0,66,90,90,ref
1ado_1ado_conf0,generation,nextmol_dmt_l_raw,chembl_count,,nextmol_dmt_l_raw_chembl_count,NextMol DMT-L,nextmol_dmt_l_raw_chembl_count,5,10,6,0.7,6,6,0,1.0,7,6,1,0.8571428571428571,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":1,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.14285714285714285,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",6,89.97921834232139,0.8385220411557683,1.2710902087997933,3.0,50.0,0.920619835714305,0.5,2.7494592739972052,0.3888888888888889,0.3333333333333333,2.0,33.333333333333336,0.9182958340544894,0.6666666666666666,1.8898815748423097,0.5555555555555556,0.0,1.0,16.666666666666668,0.0,1.0,1.0,1.0,0.0,1.0,16.666666666666668,0.0,1.0,1.0,1.0,0.0,6,-52.441843163696504,41.504026738364075,-45.0346253332049,32.904367288774445,0.8399872890697443,0.9184546101386046,0.0,0.0,0.0,1.0,,,,,,,1000,0,0,0,0,0,7,0,0,0,0,6,7,7,ref
1ai4_1ai4_conf0,generation,nextmol_dmt_l_raw,fixed,,nextmol_dmt_l_raw_fixed,NextMol DMT-L,nextmol_dmt_l_raw_fixed,4,12,1000,0.7,1000,1000,0,1.0,1000,1000,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1000,120.11867974387297,0.679263451682834,1.127546956365514,9.0,0.9,0.656448941078528,0.372,4.2306927363317595,0.286438,0.0,3.0,0.3,0.6474947795427496,0.507,2.036730287299516,0.497158,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1000,36.10093244924445,205.5984572975878,39.37080176916426,8.450804000342037,0.22003261469074262,0.8194457856839805,1.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,1000,0,0,0,0,1000,1000,1000,ref
1ai4_1ai4_conf0,generation,nextmol_dmt_l_raw,dynamic,,nextmol_dmt_l_raw_dynamic,NextMol DMT-L,nextmol_dmt_l_raw_dynamic,4,12,68,0.7,68,68,0,1.0,68,68,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",68,116.10079613715503,0.6727072295068488,1.1246851810549499,4.0,5.882352941176471,0.6278944925038119,0.5,2.387977072458589,0.45891003460207613,0.25,2.0,2.9411764705882355,0.9993759069576513,0.5147058823529411,1.9991350104402625,0.500432525951557,0.0,1.0,1.4705882352941178,0.0,1.0,1.0,1.0,0.0,1.0,1.4705882352941178,0.0,1.0,1.0,1.0,0.0,68,36.288366143024064,53.93525486357288,41.23574240576518,4.37902614559246,0.3652200372258359,0.6977046429187563,0.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,68,0,0,0,0,68,68,68,ref
1ai4_1ai4_conf0,generation,nextmol_dmt_l_raw,chembl_count,,nextmol_dmt_l_raw_chembl_count,NextMol DMT-L,nextmol_dmt_l_raw_chembl_count,4,12,8,0.7,8,8,0,1.0,8,8,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",8,130.36951703383417,0.6169875338810703,1.0735463910637433,2.0,25.0,0.954434002924965,0.625,1.9378192408783848,0.53125,0.0,2.0,25.0,0.954434002924965,0.625,1.9378192408783848,0.53125,0.0,1.0,12.5,0.0,1.0,1.0,1.0,0.0,1.0,12.5,0.0,1.0,1.0,1.0,0.0,8,37.28208764748112,42.48687593556682,38.374072553087856,1.561217100033017,0.43541820197814757,0.5274358350083553,0.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,8,0,0,0,0,8,8,8,ref
1ai5_1ai5_conf0,generation,nextmol_dmt_l_raw,fixed,,nextmol_dmt_l_raw_fixed,NextMol DMT-L,nextmol_dmt_l_raw_fixed,3,13,1000,0.7,1000,1000,0,1.0,1000,1000,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1000,95.0341788820463,0.7154914563685535,1.201013762645563,7.0,0.7,0.6837593230187544,0.377,3.7830637838943018,0.28886,0.14285714285714285,2.0,0.2,0.99971144175281,0.51,1.999600013331733,0.5002,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1000,81.80289860562621,102.30687602684894,85.85690511439935,2.4163955304131175,0.2767302481998254,0.6941340795634099,0.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,1000,0,0,0,0,1000,1000,1000,ref
1ai5_1ai5_conf0,generation,nextmol_dmt_l_raw,dynamic,,nextmol_dmt_l_raw_dynamic,NextMol DMT-L,nextmol_dmt_l_raw_dynamic,3,13,46,0.7,46,46,0,1.0,46,46,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",46,91.30353526392331,0.7290059306305384,1.2084262248995983,4.0,8.695652173913043,0.9286491545503985,0.3695652173913043,3.623285048922883,0.2977315689981096,0.0,2.0,4.3478260869565215,0.9986359641585719,0.5217391304347826,1.9981099384508874,0.500945179584121,0.0,1.0,2.1739130434782608,0.0,1.0,1.0,1.0,0.0,1.0,2.1739130434782608,0.0,1.0,1.0,1.0,0.0,46,83.1507098569671,98.87105520654713,86.09804490438286,3.193507846019168,0.29152622075582135,1.0062556547291437,0.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,46,0,0,0,0,46,46,46,ref
1ai5_1ai5_conf0,generation,nextmol_dmt_l_raw,chembl_count,,nextmol_dmt_l_raw_chembl_count,NextMol DMT-L,nextmol_dmt_l_raw_chembl_count,3,13,2,0.7,2,2,0,1.0,2,2,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",2,25.893141604333877,0.23892848644627776,0.23892848644627776,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,2,84.53175378383503,87.64537335363208,86.08856356873355,1.556809784898526,1.0675405539519214,1.079962729194377,0.0,0.0,0.0,1.0,,,,,,,1000,0,0,0,0,0,2,0,0,0,0,2,2,2,ref
1azm_1azm_conf0,generation,nextmol_dmt_l_raw,fixed,,nextmol_dmt_l_raw_fixed,NextMol DMT-L,nextmol_dmt_l_raw_fixed,3,13,194,0.7,194,188,6,0.9690721649484536,1000,194,806,0.194,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":806,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.806,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",194,130.98266395920962,0.6962995482860713,1.0038887719587002,11.0,5.670103092783505,0.6084406853061084,0.44329896907216493,4.301556969419388,0.304070570730152,0.45454545454545453,5.0,2.577319587628866,0.5212472573260556,0.5773195876288659,2.313855307607965,0.4833138484429801,0.2,1.0,0.5154639175257731,0.0,1.0,1.0,1.0,0.0,1.0,0.5154639175257731,0.0,1.0,1.0,1.0,0.0,194,-55.414244813269775,-43.17773414606346,-47.525146664563394,2.4157638375710833,0.24056063794705923,0.6438716716379103,1.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,1000,0,0,0,0,194,1000,1000,ref
