mol_id,row_type,family,tier,variant,method,display_label,source,rotatable_bonds,heavy_atoms,conformer_count,clash_cutoff,clash_input_confs,clash_pass_confs,clash_fail_confs,clash_pass_rate,pb_input_confs,pb_pass_confs,pb_fail_confs,pb_pass_rate,pb_check_fail_counts_json,pb_check_fail_rates_json,post_pb_confs,mean_torsion_std_deg,pairwise_mean,pairwise_p90,greedy_clusters_0p5,clusters_per_100_0p5,cluster_entropy_0p5,largest_cluster_fraction_0p5,effective_clusters_0p5,simpson_concentration_0p5,singleton_fraction_0p5,greedy_clusters_1p0,clusters_per_100_1p0,cluster_entropy_1p0,largest_cluster_fraction_1p0,effective_clusters_1p0,simpson_concentration_1p0,singleton_fraction_1p0,greedy_clusters_2p0,clusters_per_100_2p0,cluster_entropy_2p0,largest_cluster_fraction_2p0,effective_clusters_2p0,simpson_concentration_2p0,singleton_fraction_2p0,greedy_clusters_3p0,clusters_per_100_3p0,cluster_entropy_3p0,largest_cluster_fraction_3p0,effective_clusters_3p0,simpson_concentration_3p0,singleton_fraction_3p0,energy_count,energy_min,energy_max,energy_median,energy_std,casf_best_rmsd,casf_median_rmsd,casf_hit_0p25,casf_hit_0p5,casf_hit_0p75,casf_hit_2p0,casf_opt_best_rmsd,casf_opt_median_rmsd,casf_opt_hit_0p25,casf_opt_hit_0p5,casf_opt_hit_0p75,casf_opt_hit_2p0,generated_candidates,finite_rejected,clash_rejected,bond_rejected,stereo_rejected,rmsd_rejected,pre_clash_passed,minimization_input_confs,minimization_failed,minimization_invalid,post_min_clash_rejected,kept_confs,num_target_confs,target_confs,ligand_set
1bcu_1bcu_conf0,generation,qwen_1p7b_4e_step29600,fixed,1p7b_4e_step29600,qwen_1p7b_4e_step29600_fixed,Qwen 1.7B 4e (step 29600),qwen_1p7b_4e_step29600_fixed,2,16,1000,0.7,1000,1000,0,1.0,1000,1000,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1000,,0.058248302257653845,0.07193043501411191,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1000,42.66855906143419,88.53017955435799,55.39942937347277,5.92826368826005,0.054624586459179794,0.07549645694433707,1.0,1.0,1.0,1.0,0.044375436384905716,0.06510467521666016,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,1000,1000,1000,core
1bcu_1bcu_conf0,generation,qwen_1p7b_4e_step29600,dynamic,1p7b_4e_step29600,qwen_1p7b_4e_step29600_dynamic,Qwen 1.7B 4e (step 29600),qwen_1p7b_4e_step29600_dynamic,2,16,24,0.7,24,24,0,1.0,24,24,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",24,,0.06054009986743074,0.07439428705705703,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,24,45.707383399213576,67.58441497925567,55.049538424964766,5.903520588135421,0.06170482985381181,0.07138971634315319,1.0,1.0,1.0,1.0,0.05295698615129065,0.06230048128350965,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,24,0,0,0,0,24,24,24,core
1bcu_1bcu_conf0,generation,qwen_1p7b_4e_step29600,chembl_count,1p7b_4e_step29600,qwen_1p7b_4e_step29600_chembl_count,Qwen 1.7B 4e (step 29600),qwen_1p7b_4e_step29600_chembl_count,2,16,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,53.81933195843169,53.81933195843169,53.81933195843169,0.0,0.0630965103698316,0.0630965103698316,1.0,1.0,1.0,1.0,0.05953771613749882,0.05953771613749882,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1c5z_1c5z_conf0,generation,qwen_1p7b_4e_step29600,fixed,1p7b_4e_step29600,qwen_1p7b_4e_step29600_fixed,Qwen 1.7B 4e (step 29600),qwen_1p7b_4e_step29600_fixed,1,9,996,0.7,996,996,0,1.0,1000,996,4,0.996,"{""all_atoms_connected"":0,""bond_angles"":1,""bond_lengths"":1,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":4,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":1,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.001,""bond_lengths"":0.001,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.004,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.001,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",996,113.3111103409177,0.1403477569122072,0.32130728248051255,2.0,0.20080321285140562,0.11873167080049139,0.9839357429718876,1.085779891571207,0.9683876066515056,0.0,1.0,0.10040160642570281,0.0,1.0,1.0,1.0,0.0,1.0,0.10040160642570281,0.0,1.0,1.0,1.0,0.0,1.0,0.10040160642570281,0.0,1.0,1.0,1.0,0.0,996,19.083734325696053,38.427794719255594,24.679414735569704,2.968194529215349,0.027589249042618915,0.08500653713686246,1.0,1.0,1.0,1.0,0.06242604407005349,0.0933084679256467,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,996,1000,1000,core
1c5z_1c5z_conf0,generation,qwen_1p7b_4e_step29600,dynamic,1p7b_4e_step29600,qwen_1p7b_4e_step29600_dynamic,Qwen 1.7B 4e (step 29600),qwen_1p7b_4e_step29600_dynamic,1,9,2,0.7,2,2,0,1.0,2,2,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",2,0.0,0.035427308177140494,0.035427308177140494,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,2,21.44545913224868,23.188422131415486,22.316940631832082,0.8714814995834033,0.07535437487353075,0.07851840029128979,1.0,1.0,1.0,1.0,0.08291917176311861,0.08408769311442874,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,2,0,0,0,0,2,2,2,core
1c5z_1c5z_conf0,generation,qwen_1p7b_4e_step29600,chembl_count,1p7b_4e_step29600,qwen_1p7b_4e_step29600_chembl_count,Qwen 1.7B 4e (step 29600),qwen_1p7b_4e_step29600_chembl_count,1,9,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,0.0,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,33.557856279223614,33.557856279223614,33.557856279223614,0.0,0.3827817248202078,0.3827817248202078,0.0,1.0,1.0,1.0,0.4317763510084545,0.4317763510084545,0.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1lpg_1lpg_conf0,generation,qwen_1p7b_4e_step29600,fixed,1p7b_4e_step29600,qwen_1p7b_4e_step29600_fixed,Qwen 1.7B 4e (step 29600),qwen_1p7b_4e_step29600_fixed,10,41,558,0.7,558,544,14,0.974910394265233,1000,558,442,0.558,"{""all_atoms_connected"":0,""bond_angles"":33,""bond_lengths"":33,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":143,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":432,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":11,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.033,""bond_lengths"":0.033,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.143,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.432,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.011,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",558,91.1211620855231,2.9020958527061,3.661675784805996,540.0,96.7741935483871,0.9979548709521114,0.005376344086021506,533.0962922626752,0.0019141583484282062,0.9685185185185186,302.0,54.121863799283155,0.949108980803311,0.02867383512544803,225.8379183219683,0.006564663866085995,0.6225165562913907,32.0,5.734767025089606,0.9055084464825753,0.10215053763440861,23.063542712920867,0.05226037692218754,0.0625,6.0,1.075268817204301,0.8626737099807649,0.3387096774193548,4.6912721298279845,0.2406443904883031,0.0,558,113.63362517290474,44584.746677690266,163.5375586532424,1879.0308805836296,1.2110211558579547,2.9354723021122116,0.0,0.0,0.0,1.0,1.273992936324441,2.9939508690397245,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,558,1000,1000,core
1lpg_1lpg_conf0,generation,qwen_1p7b_4e_step29600,dynamic,1p7b_4e_step29600,qwen_1p7b_4e_step29600_dynamic,Qwen 1.7B 4e (step 29600),qwen_1p7b_4e_step29600_dynamic,10,41,112,0.7,112,110,2,0.9821428571428571,200,112,88,0.56,"{""all_atoms_connected"":0,""bond_angles"":7,""bond_lengths"":6,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":35,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":85,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":2,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.035,""bond_lengths"":0.03,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.175,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.425,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.01,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",112,90.50249830839675,2.875471128684495,3.6438533419843346,112.0,100.0,1.0000000000000002,0.008928571428571428,112.00000000000006,0.008928571428571428,1.0,89.0,79.46428571428571,0.9801895467637517,0.03571428571428571,81.42761359494784,0.013871173469387755,0.8089887640449438,23.0,20.535714285714285,0.924667325011915,0.11607142857142858,18.161229038844493,0.06457270408163263,0.13043478260869565,4.0,3.5714285714285716,0.9893352803683181,0.3125,3.9412972501733843,0.25749362244897955,0.0,112,113.63362517290474,388.7064509641143,159.8515187195121,34.286607203545145,1.830030428529374,2.8862699087641026,0.0,0.0,0.0,1.0,1.8375843872678645,2.9185196805805207,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,200,0,0,0,0,112,200,200,core
1lpg_1lpg_conf0,generation,qwen_1p7b_4e_step29600,chembl_count,1p7b_4e_step29600,qwen_1p7b_4e_step29600_chembl_count,Qwen 1.7B 4e (step 29600),qwen_1p7b_4e_step29600_chembl_count,10,41,113,0.7,113,109,4,0.9646017699115044,193,113,80,0.5854922279792746,"{""all_atoms_connected"":0,""bond_angles"":6,""bond_lengths"":5,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":25,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":79,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":1,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.031088082901554404,""bond_lengths"":0.025906735751295335,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.12953367875647667,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.40932642487046633,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0051813471502590676,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",113,90.48106295915126,2.8669026239569546,3.6386552176215363,111.0,98.23008849557522,0.998581903991021,0.017699115044247787,110.26114915424844,0.009162816195473414,0.9819819819819819,86.0,76.10619469026548,0.9757264682226252,0.04424778761061947,77.18649879107787,0.014958101652439507,0.7906976744186046,21.0,18.58407079646018,0.9141514250117452,0.12389380530973451,16.169949086184634,0.07463387892552277,0.19047619047619047,4.0,3.5398230088495577,0.9307671859211069,0.4247787610619469,3.633939426753857,0.2998668650638265,0.0,113,113.63362517290474,765.7406588982366,162.60822924639245,64.60041456290926,1.8277388884799466,2.9511899664343044,0.0,0.0,0.0,1.0,1.8375843872678645,3.017699246132424,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,193,0,0,0,0,113,193,193,core
1mq6_1mq6_conf0,generation,qwen_1p7b_4e_step29600,fixed,1p7b_4e_step29600,qwen_1p7b_4e_step29600_fixed,Qwen 1.7B 4e (step 29600),qwen_1p7b_4e_step29600_fixed,7,36,744,0.7,744,728,16,0.978494623655914,999,744,255,0.7447447447447447,"{""all_atoms_connected"":0,""bond_angles"":2,""bond_lengths"":3,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":28,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":254,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.002002002002002002,""bond_lengths"":0.003003003003003003,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.028028028028028028,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.25425425425425424,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",744,91.36552398709281,2.136192725734875,2.7161419210553897,515.0,69.22043010752688,0.9695263250124849,0.01478494623655914,425.7635681969969,0.0031578795236443524,0.7708737864077669,190.0,25.537634408602152,0.903821360879326,0.04704301075268817,114.70601196665785,0.013177101399005665,0.41578947368421054,16.0,2.150537634408602,0.716693374465888,0.26344086021505375,7.294320030990569,0.17154078506185688,0.0,3.0,0.4032258064516129,0.5798968750634458,0.6868279569892473,1.8909546986661485,0.5681401029020695,0.0,744,2.136782885655812,54640.7614291208,30.523945320992432,2004.633239550198,1.6511735044714857,2.6732409356401763,0.0,0.0,0.0,1.0,1.5400550588757886,2.621260983708215,0.0,0.0,0.0,1.0,999,0,0,0,0,0,999,0,0,0,0,744,1000,1000,core
