mol_id,row_type,family,tier,variant,method,display_label,source,rotatable_bonds,heavy_atoms,conformer_count,clash_cutoff,clash_input_confs,clash_pass_confs,clash_fail_confs,clash_pass_rate,pb_input_confs,pb_pass_confs,pb_fail_confs,pb_pass_rate,pb_check_fail_counts_json,pb_check_fail_rates_json,post_pb_confs,mean_torsion_std_deg,pairwise_mean,pairwise_p90,greedy_clusters_0p5,clusters_per_100_0p5,cluster_entropy_0p5,largest_cluster_fraction_0p5,effective_clusters_0p5,simpson_concentration_0p5,singleton_fraction_0p5,greedy_clusters_1p0,clusters_per_100_1p0,cluster_entropy_1p0,largest_cluster_fraction_1p0,effective_clusters_1p0,simpson_concentration_1p0,singleton_fraction_1p0,greedy_clusters_2p0,clusters_per_100_2p0,cluster_entropy_2p0,largest_cluster_fraction_2p0,effective_clusters_2p0,simpson_concentration_2p0,singleton_fraction_2p0,greedy_clusters_3p0,clusters_per_100_3p0,cluster_entropy_3p0,largest_cluster_fraction_3p0,effective_clusters_3p0,simpson_concentration_3p0,singleton_fraction_3p0,energy_count,energy_min,energy_max,energy_median,energy_std,casf_best_rmsd,casf_median_rmsd,casf_hit_0p25,casf_hit_0p5,casf_hit_0p75,casf_hit_2p0,casf_opt_best_rmsd,casf_opt_median_rmsd,casf_opt_hit_0p25,casf_opt_hit_0p5,casf_opt_hit_0p75,casf_opt_hit_2p0,generated_candidates,finite_rejected,clash_rejected,bond_rejected,stereo_rejected,rmsd_rejected,pre_clash_passed,minimization_input_confs,minimization_failed,minimization_invalid,post_min_clash_rejected,kept_confs,num_target_confs,target_confs,ligand_set
1bcu_1bcu_conf0,generation,qwen_1p7b_bigdata_step74000,fixed,1p7b_bigdata_step74000,qwen_1p7b_bigdata_step74000_fixed,Qwen 1.7B bigdata (step 74000),qwen_1p7b_bigdata_step74000_fixed,2,16,997,0.7,997,997,0,1.0,1000,997,3,0.997,"{""all_atoms_connected"":0,""bond_angles"":1,""bond_lengths"":3,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":1,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.001,""bond_lengths"":0.003,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.001,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",997,,0.13644607774290102,0.19500709740374758,2.0,0.20060180541624875,0.037718141564018176,0.995987963891675,1.0264889816124563,0.9920081206508189,0.0,1.0,0.10030090270812438,0.0,1.0,1.0,1.0,0.0,1.0,0.10030090270812438,0.0,1.0,1.0,1.0,0.0,1.0,0.10030090270812438,0.0,1.0,1.0,1.0,0.0,997,42.597935188658155,244.83768179268822,59.36212085373087,15.401007714714876,0.04780992305114671,0.09333805898479824,1.0,1.0,1.0,1.0,0.04637580219202357,0.0963111707417041,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,997,1000,1000,core
1bcu_1bcu_conf0,generation,qwen_1p7b_bigdata_step74000,dynamic,1p7b_bigdata_step74000,qwen_1p7b_bigdata_step74000_dynamic,Qwen 1.7B bigdata (step 74000),qwen_1p7b_bigdata_step74000_dynamic,2,16,24,0.7,24,24,0,1.0,24,24,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",24,,0.1273087708035832,0.17402961860779273,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,24,49.49058149399782,79.19887614872155,65.51725821333477,7.8676109119673425,0.05998933647778425,0.09868924809910323,1.0,1.0,1.0,1.0,0.0580501321615784,0.10243786451032126,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,24,0,0,0,0,24,24,24,core
1bcu_1bcu_conf0,generation,qwen_1p7b_bigdata_step74000,chembl_count,1p7b_bigdata_step74000,qwen_1p7b_bigdata_step74000_chembl_count,Qwen 1.7B bigdata (step 74000),qwen_1p7b_bigdata_step74000_chembl_count,2,16,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,50.1653680888508,50.1653680888508,50.1653680888508,0.0,0.07598534294913398,0.07598534294913398,1.0,1.0,1.0,1.0,0.058714487494354886,0.058714487494354886,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1c5z_1c5z_conf0,generation,qwen_1p7b_bigdata_step74000,fixed,1p7b_bigdata_step74000,qwen_1p7b_bigdata_step74000_fixed,Qwen 1.7B bigdata (step 74000),qwen_1p7b_bigdata_step74000_fixed,1,9,999,0.7,999,999,0,1.0,1000,999,1,0.999,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":1,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.001,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",999,103.93507163829396,0.30649026707872506,0.5814951690537435,2.0,0.2002002002002002,0.979256717869336,0.5845845845845846,1.971449448825095,0.5143091038986936,0.0,1.0,0.1001001001001001,0.0,1.0,1.0,1.0,0.0,1.0,0.1001001001001001,0.0,1.0,1.0,1.0,0.0,1.0,0.1001001001001001,0.0,1.0,1.0,1.0,0.0,999,19.462460828855452,143.2574464334599,26.83709338763802,8.137486756817017,0.04395266654955695,0.28707089759403587,1.0,1.0,1.0,1.0,0.050416878146543775,0.2826157269939489,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,999,1000,1000,core
1c5z_1c5z_conf0,generation,qwen_1p7b_bigdata_step74000,dynamic,1p7b_bigdata_step74000,qwen_1p7b_bigdata_step74000_dynamic,Qwen 1.7B bigdata (step 74000),qwen_1p7b_bigdata_step74000_dynamic,1,9,2,0.7,2,2,0,1.0,2,2,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",2,79.50963546190876,0.1732148692017741,0.1732148692017741,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,2,23.46103274314825,28.373904793409984,25.917468768279118,2.4564360251308663,0.16346182283889923,0.22903303151243387,1.0,1.0,1.0,1.0,0.10898290792846503,0.18267921291828995,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,2,0,0,0,0,2,2,2,core
1c5z_1c5z_conf0,generation,qwen_1p7b_bigdata_step74000,chembl_count,1p7b_bigdata_step74000,qwen_1p7b_bigdata_step74000_chembl_count,Qwen 1.7B bigdata (step 74000),qwen_1p7b_bigdata_step74000_chembl_count,1,9,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,0.0,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,22.277453113925603,22.277453113925603,22.277453113925603,0.0,0.12267648136296254,0.12267648136296254,1.0,1.0,1.0,1.0,0.16350093372932803,0.16350093372932803,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1lpg_1lpg_conf0,generation,qwen_1p7b_bigdata_step74000,fixed,1p7b_bigdata_step74000,qwen_1p7b_bigdata_step74000_fixed,Qwen 1.7B bigdata (step 74000),qwen_1p7b_bigdata_step74000_fixed,10,41,751,0.7,751,726,25,0.966711051930759,1000,751,249,0.751,"{""all_atoms_connected"":0,""bond_angles"":45,""bond_lengths"":22,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":84,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":227,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":25,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.045,""bond_lengths"":0.022,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.084,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.227,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.025,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",751,94.34117060875325,2.670634458112444,3.4332486929284856,750.0,99.86684420772303,0.9999224349958012,0.002663115845539281,749.6149843539871,0.0013351040157730215,0.9986666666666667,571.0,76.03195739014647,0.9825268102894047,0.009320905459387484,511.05646025128453,0.0022925491266859457,0.7828371278458844,39.0,5.193075898801598,0.9201239067173355,0.11717709720372836,29.10560171172332,0.04336694438485039,0.02564102564102564,4.0,0.5326231691078562,0.888376827582494,0.507323568575233,3.4265426758959374,0.3391749305409033,0.0,751,108.51243710498912,66449.40987371175,142.57415984739242,2440.889515288222,0.7153556228062151,2.4292561531629606,0.0,0.0,1.0,1.0,0.6791587682160976,2.462236572061145,0.0,0.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,751,1000,1000,core
1lpg_1lpg_conf0,generation,qwen_1p7b_bigdata_step74000,dynamic,1p7b_bigdata_step74000,qwen_1p7b_bigdata_step74000_dynamic,Qwen 1.7B bigdata (step 74000),qwen_1p7b_bigdata_step74000_dynamic,10,41,157,0.7,157,155,2,0.9872611464968153,200,157,43,0.785,"{""all_atoms_connected"":0,""bond_angles"":5,""bond_lengths"":1,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":17,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":39,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":2,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.025,""bond_lengths"":0.005,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.085,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.195,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.01,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",157,94.61720438525828,2.7335259753039747,3.548942931405763,157.0,100.0,1.0000000000000002,0.006369426751592357,157.00000000000009,0.006369426751592356,1.0,136.0,86.62420382165605,0.986972817480708,0.025477707006369428,127.56892845924628,0.008641324191650777,0.8897058823529411,23.0,14.64968152866242,0.9012273824041623,0.16560509554140126,16.874325148606218,0.07452634995334496,0.08695652173913043,4.0,2.5477707006369426,0.7906116387040576,0.5732484076433121,2.992234571399873,0.4062233762018743,0.0,157,110.04608045752735,2038.9895667060468,141.61893367743104,200.7547194847028,1.15417795439133,2.50999672096955,0.0,0.0,0.0,1.0,1.2223686077193396,2.5574270872105664,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,200,0,0,0,0,157,200,200,core
1lpg_1lpg_conf0,generation,qwen_1p7b_bigdata_step74000,chembl_count,1p7b_bigdata_step74000,qwen_1p7b_bigdata_step74000_chembl_count,Qwen 1.7B bigdata (step 74000),qwen_1p7b_bigdata_step74000_chembl_count,10,41,148,0.7,148,145,3,0.9797297297297297,193,148,45,0.7668393782383419,"{""all_atoms_connected"":0,""bond_angles"":11,""bond_lengths"":3,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":20,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":39,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":10,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.05699481865284974,""bond_lengths"":0.015544041450777202,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.10362694300518134,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.20207253886010362,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.05181347150259067,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",148,91.82841105353518,2.8032881956822737,3.6750347300471176,148.0,100.0,1.0000000000000002,0.006756756756756757,148.00000000000009,0.006756756756756759,1.0,135.0,91.21621621621621,0.9931977175795773,0.02027027027027027,130.56976923415044,0.008035062089116146,0.9111111111111111,20.0,13.513513513513514,0.9248121436355241,0.13513513513513514,15.966449041123232,0.07121986851716582,0.2,4.0,2.7027027027027026,0.8033685246903364,0.49324324324324326,3.0456223230910675,0.36733016800584367,0.0,148,112.38563279953759,7733.390647557953,141.50469999560787,622.5420458448943,1.208553818539638,2.4334623783857037,0.0,0.0,0.0,1.0,1.2349281231972524,2.480070169018731,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,193,0,0,0,0,148,193,193,core
1mq6_1mq6_conf0,generation,qwen_1p7b_bigdata_step74000,fixed,1p7b_bigdata_step74000,qwen_1p7b_bigdata_step74000_fixed,Qwen 1.7B bigdata (step 74000),qwen_1p7b_bigdata_step74000_fixed,7,36,630,0.7,630,623,7,0.9888888888888889,996,630,366,0.6325301204819277,"{""all_atoms_connected"":0,""bond_angles"":25,""bond_lengths"":17,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":52,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":357,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.025100401606425703,""bond_lengths"":0.01706827309236948,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.05220883534136546,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.35843373493975905,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",630,91.9814816073501,2.1000656181305666,2.6718244871317633,621.0,98.57142857142857,0.9991579553846999,0.0031746031746031746,617.6460842620583,0.0016326530612244899,0.9855072463768116,285.0,45.23809523809524,0.9612849102998557,0.01904761904761905,228.9840967475467,0.005422020660115899,0.45614035087719296,12.0,1.9047619047619047,0.8209140746129301,0.20476190476190476,7.689800519317045,0.1459410430839002,0.08333333333333333,2.0,0.31746031746031744,0.9700145064690447,0.6015873015873016,1.958860291646438,0.5206399596875787,0.0,630,3.2409275412142335,10700.508068251664,34.95928038474902,427.27114778924715,1.0206685634823633,1.9235996875294739,0.0,0.0,0.0,1.0,1.0509541680011272,1.8963939905899538,0.0,0.0,0.0,1.0,996,0,0,0,0,0,996,0,0,0,0,630,1000,1000,core
