mol_id,row_type,family,tier,variant,method,display_label,source,rotatable_bonds,heavy_atoms,conformer_count,clash_cutoff,clash_input_confs,clash_pass_confs,clash_fail_confs,clash_pass_rate,pb_input_confs,pb_pass_confs,pb_fail_confs,pb_pass_rate,pb_check_fail_counts_json,pb_check_fail_rates_json,post_pb_confs,mean_torsion_std_deg,pairwise_mean,pairwise_p90,greedy_clusters_0p5,clusters_per_100_0p5,cluster_entropy_0p5,largest_cluster_fraction_0p5,effective_clusters_0p5,simpson_concentration_0p5,singleton_fraction_0p5,greedy_clusters_1p0,clusters_per_100_1p0,cluster_entropy_1p0,largest_cluster_fraction_1p0,effective_clusters_1p0,simpson_concentration_1p0,singleton_fraction_1p0,greedy_clusters_2p0,clusters_per_100_2p0,cluster_entropy_2p0,largest_cluster_fraction_2p0,effective_clusters_2p0,simpson_concentration_2p0,singleton_fraction_2p0,greedy_clusters_3p0,clusters_per_100_3p0,cluster_entropy_3p0,largest_cluster_fraction_3p0,effective_clusters_3p0,simpson_concentration_3p0,singleton_fraction_3p0,energy_count,energy_min,energy_max,energy_median,energy_std,casf_best_rmsd,casf_median_rmsd,casf_hit_0p25,casf_hit_0p5,casf_hit_0p75,casf_hit_2p0,casf_opt_best_rmsd,casf_opt_median_rmsd,casf_opt_hit_0p25,casf_opt_hit_0p5,casf_opt_hit_0p75,casf_opt_hit_2p0,generated_candidates,finite_rejected,clash_rejected,bond_rejected,stereo_rejected,rmsd_rejected,pre_clash_passed,minimization_input_confs,minimization_failed,minimization_invalid,post_min_clash_rejected,kept_confs,num_target_confs,target_confs,ligand_set
1bcu_1bcu_conf0,generation,qwen_4b_4e_from_bigdata_step20000,fixed,4b_4e_from_bigdata_step20000,qwen_4b_4e_from_bigdata_step20000_fixed,Qwen 4B 4e from bigdata (step 20000),qwen_4b_4e_from_bigdata_step20000_fixed,2,16,1000,0.7,1000,1000,0,1.0,1000,1000,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1000,,0.05565850587742419,0.06888819311791504,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1000,43.60114222949073,81.12526912420415,55.986387953323316,5.409697086471198,0.05548975591500937,0.07131592933061567,1.0,1.0,1.0,1.0,0.044168612868528,0.058805776168598764,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,1000,1000,1000,core
1bcu_1bcu_conf0,generation,qwen_4b_4e_from_bigdata_step20000,dynamic,4b_4e_from_bigdata_step20000,qwen_4b_4e_from_bigdata_step20000_dynamic,Qwen 4B 4e from bigdata (step 20000),qwen_4b_4e_from_bigdata_step20000_dynamic,2,16,24,0.7,24,24,0,1.0,24,24,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",24,,0.05258416748071541,0.06072198053462277,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,24,46.13692200541858,66.13198293334007,55.00415105927766,5.2185166353948835,0.06138274916556246,0.06961823054809195,1.0,1.0,1.0,1.0,0.04780227050286966,0.05661115932457586,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,24,0,0,0,0,24,24,24,core
1bcu_1bcu_conf0,generation,qwen_4b_4e_from_bigdata_step20000,chembl_count,4b_4e_from_bigdata_step20000,qwen_4b_4e_from_bigdata_step20000_chembl_count,Qwen 4B 4e from bigdata (step 20000),qwen_4b_4e_from_bigdata_step20000_chembl_count,2,16,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,67.88694066900302,67.88694066900302,67.88694066900302,0.0,0.07499982361053228,0.07499982361053228,1.0,1.0,1.0,1.0,0.06333509900746988,0.06333509900746988,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1c5z_1c5z_conf0,generation,qwen_4b_4e_from_bigdata_step20000,fixed,4b_4e_from_bigdata_step20000,qwen_4b_4e_from_bigdata_step20000_fixed,Qwen 4B 4e from bigdata (step 20000),qwen_4b_4e_from_bigdata_step20000_fixed,1,9,998,0.7,998,998,0,1.0,1000,998,2,0.998,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":1,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":1,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":1,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.001,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.001,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.001,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",998,109.03394195658863,0.286958612384574,0.5453338512861227,3.0,0.30060120240480964,0.7680050903858522,0.5410821643286573,2.325046014572744,0.4638575748691772,0.0,1.0,0.10020040080160321,0.0,1.0,1.0,1.0,0.0,1.0,0.10020040080160321,0.0,1.0,1.0,1.0,0.0,1.0,0.10020040080160321,0.0,1.0,1.0,1.0,0.0,998,19.345327392867535,69.75016693455498,25.231970875201625,5.1933962337296355,0.0374626940439167,0.22236999211853797,1.0,1.0,1.0,1.0,0.06859102018025838,0.23456702984522432,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,998,1000,1000,core
1c5z_1c5z_conf0,generation,qwen_4b_4e_from_bigdata_step20000,dynamic,4b_4e_from_bigdata_step20000,qwen_4b_4e_from_bigdata_step20000_dynamic,Qwen 4B 4e from bigdata (step 20000),qwen_4b_4e_from_bigdata_step20000_dynamic,1,9,2,0.7,2,2,0,1.0,2,2,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",2,102.54524742223825,0.2153898246326808,0.2153898246326808,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,2,21.105695265696255,23.36033760412092,22.23301643490859,1.1273211692123333,0.0882691058949017,0.11733879147607075,1.0,1.0,1.0,1.0,0.07500439322183328,0.13750371557331265,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,2,0,0,0,0,2,2,2,core
1c5z_1c5z_conf0,generation,qwen_4b_4e_from_bigdata_step20000,chembl_count,4b_4e_from_bigdata_step20000,qwen_4b_4e_from_bigdata_step20000_chembl_count,Qwen 4B 4e from bigdata (step 20000),qwen_4b_4e_from_bigdata_step20000_chembl_count,1,9,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,0.0,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,28.007080048152332,28.007080048152332,28.007080048152332,0.0,0.09380599459045574,0.09380599459045574,1.0,1.0,1.0,1.0,0.08274394564224208,0.08274394564224208,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1lpg_1lpg_conf0,generation,qwen_4b_4e_from_bigdata_step20000,fixed,4b_4e_from_bigdata_step20000,qwen_4b_4e_from_bigdata_step20000_fixed,Qwen 4B 4e from bigdata (step 20000),qwen_4b_4e_from_bigdata_step20000_fixed,10,41,685,0.7,685,666,19,0.9722627737226277,999,685,314,0.6856856856856857,"{""all_atoms_connected"":0,""bond_angles"":66,""bond_lengths"":24,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":105,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":301,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":8,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.06606606606606606,""bond_lengths"":0.024024024024024024,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.10510510510510511,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.3013013013013013,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.008008008008008008,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",685,92.33209081606479,2.785978903679206,3.5743458865308253,663.0,96.78832116788321,0.9978187528116831,0.004379562043795621,653.670837385206,0.0015664127017955137,0.971342383107089,343.0,50.07299270072993,0.9620244687977109,0.013138686131386862,274.7988931272964,0.004571367680750173,0.5276967930029155,28.0,4.087591240875913,0.9167936414368226,0.12262773722627737,21.219995198124447,0.05773562789706431,0.0,4.0,0.583941605839416,0.9168585803176117,0.362043795620438,3.564543088874423,0.2985539986147371,0.0,685,103.79856616000414,41430.046302023344,155.06678438482635,1577.2305089285394,1.0973250630037175,2.747161520570608,0.0,0.0,0.0,1.0,1.06826120667759,2.806654512015717,0.0,0.0,0.0,1.0,999,0,0,0,0,0,999,0,0,0,0,685,1000,1000,core
1lpg_1lpg_conf0,generation,qwen_4b_4e_from_bigdata_step20000,dynamic,4b_4e_from_bigdata_step20000,qwen_4b_4e_from_bigdata_step20000_dynamic,Qwen 4B 4e from bigdata (step 20000),qwen_4b_4e_from_bigdata_step20000_dynamic,10,41,126,0.7,126,124,2,0.9841269841269841,200,126,74,0.63,"{""all_atoms_connected"":0,""bond_angles"":16,""bond_lengths"":5,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":28,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":69,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":3,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.08,""bond_lengths"":0.025,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.14,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.345,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.015,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",126,89.94773173306655,2.798322038350494,3.590097937473169,125.0,99.2063492063492,0.9993715887750325,0.015873015873015872,124.6213039851455,0.008062484252960439,0.992,100.0,79.36507936507937,0.9853626887530826,0.023809523809523808,93.4814365144678,0.011589821113630633,0.77,21.0,16.666666666666668,0.9274639079412691,0.09523809523809523,16.838781991553986,0.06676744771982865,0.14285714285714285,3.0,2.380952380952381,0.9285194479438218,0.4365079365079365,2.7734246041630106,0.3795666414714034,0.0,126,107.30936327398561,465.5601336029386,157.30957510352962,37.86121827086037,1.4591372652433499,2.740727197264267,0.0,0.0,0.0,1.0,1.4778712700264103,2.7952109717558544,0.0,0.0,0.0,1.0,999,0,0,0,0,0,200,0,0,0,0,126,200,200,core
1lpg_1lpg_conf0,generation,qwen_4b_4e_from_bigdata_step20000,chembl_count,4b_4e_from_bigdata_step20000,qwen_4b_4e_from_bigdata_step20000_chembl_count,Qwen 4B 4e from bigdata (step 20000),qwen_4b_4e_from_bigdata_step20000_chembl_count,10,41,132,0.7,132,128,4,0.9696969696969697,193,132,61,0.6839378238341969,"{""all_atoms_connected"":0,""bond_angles"":13,""bond_lengths"":4,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":19,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":59,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":1,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.06735751295336788,""bond_lengths"":0.02072538860103627,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.09844559585492228,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.30569948186528495,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0051813471502590676,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",132,91.3014311696841,2.7816639066638627,3.5657153336902137,131.0,99.24242424242425,0.9994056382888391,0.015151515151515152,130.6209598127893,0.007690541781450873,0.9923664122137404,106.0,80.3030303030303,0.9825358157946167,0.022727272727272728,97.70922094033227,0.011363636363636364,0.8207547169811321,19.0,14.393939393939394,0.914942233445119,0.13636363636363635,14.790596035975367,0.07828282828282829,0.15789473684210525,4.0,3.0303030303030303,0.7358487498272934,0.5606060606060606,2.773480341528145,0.4089761248852158,0.25,132,107.30936327398561,41430.046302023344,152.23190940353805,3579.967933707431,1.4591372652433499,2.735412218282778,0.0,0.0,0.0,1.0,1.4778712700264103,2.7997431727987134,0.0,0.0,0.0,1.0,999,0,0,0,0,0,193,0,0,0,0,132,193,193,core
1mq6_1mq6_conf0,generation,qwen_4b_4e_from_bigdata_step20000,fixed,4b_4e_from_bigdata_step20000,qwen_4b_4e_from_bigdata_step20000_fixed,Qwen 4B 4e from bigdata (step 20000),qwen_4b_4e_from_bigdata_step20000_fixed,7,36,794,0.7,794,775,19,0.9760705289672544,997,794,203,0.7963891675025075,"{""all_atoms_connected"":0,""bond_angles"":10,""bond_lengths"":10,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":20,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":199,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.010030090270812437,""bond_lengths"":0.010030090270812437,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.020060180541624874,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.1995987963891675,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",794,80.67811985795355,1.9705021696394707,2.490552683341537,536.0,67.50629722921914,0.9718841568375056,0.011335012594458438,449.19200777972094,0.0028107531930283173,0.7425373134328358,181.0,22.79596977329975,0.9179446980768882,0.04408060453400504,118.1473752307307,0.011645908545831774,0.3370165745856354,14.0,1.7632241813602014,0.7409140509063558,0.27581863979848864,7.066142082594934,0.1668813329188054,0.07142857142857142,2.0,0.2518891687657431,0.18918595221373527,0.9710327455919395,1.1401202158862775,0.9437436948397617,0.0,794,-2.416488642906195,2531.3298322537753,25.777984853583764,102.0593871031468,1.493596920483049,2.4138047721256957,0.0,0.0,0.0,1.0,1.499535697768819,2.3760246055006142,0.0,0.0,0.0,1.0,997,0,0,0,0,0,997,0,0,0,0,794,1000,1000,core
