mol_id,row_type,family,tier,variant,method,display_label,source,rotatable_bonds,heavy_atoms,conformer_count,clash_cutoff,clash_input_confs,clash_pass_confs,clash_fail_confs,clash_pass_rate,pb_input_confs,pb_pass_confs,pb_fail_confs,pb_pass_rate,pb_check_fail_counts_json,pb_check_fail_rates_json,post_pb_confs,mean_torsion_std_deg,pairwise_mean,pairwise_p90,greedy_clusters_0p5,clusters_per_100_0p5,cluster_entropy_0p5,largest_cluster_fraction_0p5,effective_clusters_0p5,simpson_concentration_0p5,singleton_fraction_0p5,greedy_clusters_1p0,clusters_per_100_1p0,cluster_entropy_1p0,largest_cluster_fraction_1p0,effective_clusters_1p0,simpson_concentration_1p0,singleton_fraction_1p0,greedy_clusters_2p0,clusters_per_100_2p0,cluster_entropy_2p0,largest_cluster_fraction_2p0,effective_clusters_2p0,simpson_concentration_2p0,singleton_fraction_2p0,greedy_clusters_3p0,clusters_per_100_3p0,cluster_entropy_3p0,largest_cluster_fraction_3p0,effective_clusters_3p0,simpson_concentration_3p0,singleton_fraction_3p0,energy_count,energy_min,energy_max,energy_median,energy_std,casf_best_rmsd,casf_median_rmsd,casf_hit_0p25,casf_hit_0p5,casf_hit_0p75,casf_hit_2p0,casf_opt_best_rmsd,casf_opt_median_rmsd,casf_opt_hit_0p25,casf_opt_hit_0p5,casf_opt_hit_0p75,casf_opt_hit_2p0,generated_candidates,finite_rejected,clash_rejected,bond_rejected,stereo_rejected,rmsd_rejected,pre_clash_passed,minimization_input_confs,minimization_failed,minimization_invalid,post_min_clash_rejected,kept_confs,num_target_confs,target_confs,ligand_set
1bcu_1bcu_conf0,generation,qwen_4b_4e_step20000,fixed,4b_4e_step20000,qwen_4b_4e_step20000_fixed,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_fixed,2,16,999,0.7,999,999,0,1.0,1000,999,1,0.999,"{""all_atoms_connected"":0,""bond_angles"":1,""bond_lengths"":1,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":1,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":1,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.001,""bond_lengths"":0.001,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.001,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.001,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",999,,0.06042012049247885,0.07658156087155368,1.0,0.1001001001001001,0.0,1.0,1.0,1.0,0.0,1.0,0.1001001001001001,0.0,1.0,1.0,1.0,0.0,1.0,0.1001001001001001,0.0,1.0,1.0,1.0,0.0,1.0,0.1001001001001001,0.0,1.0,1.0,1.0,0.0,999,42.7364152546439,185.4707550093424,55.80339567996757,7.917329967175868,0.057247822543809876,0.08331073979633175,1.0,1.0,1.0,1.0,0.04285298833561448,0.06666876128122179,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,999,1000,1000,core
1bcu_1bcu_conf0,generation,qwen_4b_4e_step20000,dynamic,4b_4e_step20000,qwen_4b_4e_step20000_dynamic,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_dynamic,2,16,24,0.7,24,24,0,1.0,24,24,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",24,,0.0609205460507473,0.07787431231989514,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,24,48.34543170682713,67.86535238793306,55.152061470799154,5.888804128186045,0.0710264401513042,0.08181815973183997,1.0,1.0,1.0,1.0,0.05252745451383349,0.06462067788595896,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,24,0,0,0,0,24,24,24,core
1bcu_1bcu_conf0,generation,qwen_4b_4e_step20000,chembl_count,4b_4e_step20000,qwen_4b_4e_step20000_chembl_count,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_chembl_count,2,16,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,69.78838740046626,69.78838740046626,69.78838740046626,0.0,0.13943302488512777,0.13943302488512777,1.0,1.0,1.0,1.0,0.12238350143220994,0.12238350143220994,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1c5z_1c5z_conf0,generation,qwen_4b_4e_step20000,fixed,4b_4e_step20000,qwen_4b_4e_step20000_fixed,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_fixed,1,9,1000,0.7,1000,1000,0,1.0,1000,1000,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1000,112.82779143162277,0.2392570753646104,0.4620541727961532,2.0,0.2,0.9467554496831933,0.635,1.9275328529221234,0.53645,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1000,19.133340877741986,37.77477384528402,24.780675380092205,2.6559480486077427,0.02448739444736787,0.1879925773760833,1.0,1.0,1.0,1.0,0.0655767951226088,0.20705894115517715,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,1000,1000,1000,core
1c5z_1c5z_conf0,generation,qwen_4b_4e_step20000,dynamic,4b_4e_step20000,qwen_4b_4e_step20000_dynamic,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_dynamic,1,9,2,0.7,2,2,0,1.0,2,2,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",2,145.39066036727408,0.5324194346748852,0.5324194346748852,2.0,100.0,1.0,0.5,2.0,0.5,1.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,2,23.4900200304875,25.75490881840321,24.622464424445354,1.1324443939578543,0.2270862084128847,0.27302472753800405,1.0,1.0,1.0,1.0,0.27884100410253737,0.28178485095513894,0.0,1.0,1.0,1.0,1000,0,0,0,0,0,2,0,0,0,0,2,2,2,core
1c5z_1c5z_conf0,generation,qwen_4b_4e_step20000,chembl_count,4b_4e_step20000,qwen_4b_4e_step20000_chembl_count,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_chembl_count,1,9,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,0.0,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,21.77332823509879,21.77332823509879,21.77332823509879,0.0,0.3247221273732819,0.3247221273732819,0.0,1.0,1.0,1.0,0.2929887572280371,0.2929887572280371,0.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1lpg_1lpg_conf0,generation,qwen_4b_4e_step20000,fixed,4b_4e_step20000,qwen_4b_4e_step20000_fixed,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_fixed,10,41,657,0.7,657,623,34,0.9482496194824962,999,657,342,0.6576576576576577,"{""all_atoms_connected"":0,""bond_angles"":30,""bond_lengths"":17,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":121,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":335,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":9,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.03003003003003003,""bond_lengths"":0.01701701701701702,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.12112112112112113,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.3353353353353353,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.009009009009009009,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",657,90.12843777349607,2.4750055389371486,3.3330489103272263,592.0,90.10654490106545,0.9930776261223472,0.0076103500761035,566.4096701886006,0.0018973749504805984,0.9087837837837838,232.0,35.31202435312024,0.904609737923654,0.0380517503805175,137.98868186490273,0.012127909482009687,0.5172413793103449,29.0,4.41400304414003,0.763315437432567,0.2709284627092846,13.06986095939831,0.12758282771418444,0.10344827586206896,4.0,0.60882800608828,0.8412962771837684,0.471841704718417,3.21004284720254,0.35572652780384056,0.0,657,112.83539886705853,20351.826353992627,157.0504505181763,948.2330492619747,1.3227754234821982,3.226799683282522,0.0,0.0,0.0,1.0,1.3195119363897103,3.2982547618218967,0.0,0.0,0.0,1.0,999,0,0,0,0,0,999,0,0,0,0,657,1000,1000,core
1lpg_1lpg_conf0,generation,qwen_4b_4e_step20000,dynamic,4b_4e_step20000,qwen_4b_4e_step20000_dynamic,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_dynamic,10,41,129,0.7,129,120,9,0.9302325581395349,200,129,71,0.645,"{""all_atoms_connected"":0,""bond_angles"":7,""bond_lengths"":5,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":24,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":70,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.035,""bond_lengths"":0.025,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.12,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.35,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",129,88.65352879391463,2.6186709077225436,3.583192394377883,124.0,96.12403100775194,0.997053802640288,0.015503875968992248,122.2514592370811,0.008352863409650867,0.9596774193548387,78.0,60.46511627906977,0.9396448246887621,0.06976744186046512,59.964870655097165,0.023375999038519325,0.717948717948718,20.0,15.503875968992247,0.7692035519823829,0.3178294573643411,10.017443321924967,0.1570218135929331,0.3,3.0,2.3255813953488373,0.8163960333348387,0.627906976744186,2.45199680398581,0.4711856258638303,0.0,129,121.56234537037514,20351.826353992627,154.9638350656515,1773.1632667625677,1.5778479874445055,3.141961344768673,0.0,0.0,0.0,1.0,1.6280567786547413,3.1937569999732327,0.0,0.0,0.0,1.0,999,0,0,0,0,0,200,0,0,0,0,129,200,200,core
1lpg_1lpg_conf0,generation,qwen_4b_4e_step20000,chembl_count,4b_4e_step20000,qwen_4b_4e_step20000_chembl_count,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_chembl_count,10,41,126,0.7,126,124,2,0.9841269841269841,193,126,67,0.6528497409326425,"{""all_atoms_connected"":0,""bond_angles"":8,""bond_lengths"":3,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":19,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":66,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":3,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.04145077720207254,""bond_lengths"":0.015544041450777202,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.09844559585492228,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.34196891191709844,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.015544041450777202,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",126,90.52676265316045,2.544895777244929,3.5146270455400113,123.0,97.61904761904762,0.9981485628228097,0.015873015873015872,121.90900409401058,0.008314436885865454,0.975609756097561,79.0,62.698412698412696,0.9517830057068232,0.047619047619047616,63.99252056128024,0.02003023431594861,0.7215189873417721,19.0,15.079365079365079,0.7938429186058052,0.2619047619047619,10.3545085429701,0.13353489543965733,0.3684210526315789,5.0,3.9682539682539684,0.7212548254090116,0.4523809523809524,3.1925336862077915,0.36747291509196267,0.0,126,117.2874614567927,601.5499506503725,155.15016189891222,51.537970296446176,1.7253375142490055,3.2239665632873855,0.0,0.0,0.0,1.0,1.752736014988012,3.297384703819054,0.0,0.0,0.0,1.0,999,0,0,0,0,0,193,0,0,0,0,126,193,193,core
1mq6_1mq6_conf0,generation,qwen_4b_4e_step20000,fixed,4b_4e_step20000,qwen_4b_4e_step20000_fixed,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_fixed,7,36,704,0.7,704,686,18,0.9744318181818182,999,704,295,0.7047047047047047,"{""all_atoms_connected"":0,""bond_angles"":14,""bond_lengths"":13,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":53,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":289,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":1,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.014014014014014014,""bond_lengths"":0.013013013013013013,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.05305305305305305,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.28928928928928926,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.001001001001001001,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",704,81.90792386763232,2.2409268587544164,2.926200566185679,534.0,75.85227272727273,0.9815645833135327,0.007102272727272727,475.61757845156586,0.0024575477789256193,0.797752808988764,220.0,31.25,0.9254470276535521,0.036931818181818184,147.15943355363362,0.009692988119834711,0.4409090909090909,26.0,3.6931818181818183,0.7268716126002052,0.24289772727272727,10.678345273595477,0.13856695506198347,0.07692307692307693,5.0,0.7102272727272727,0.3234964303517988,0.8792613636363636,1.6831169798637773,0.7776383329028925,0.0,704,0.8060364778053142,1823.8524752177764,25.43096099522662,77.60264947988856,1.4754879677275536,2.472238614663294,0.0,0.0,0.0,1.0,1.4063591866674838,2.4390522058085606,0.0,0.0,0.0,1.0,999,0,0,0,0,0,999,0,0,0,0,704,1000,1000,core
