mol_id,row_type,family,tier,variant,method,display_label,source,rotatable_bonds,heavy_atoms,conformer_count,clash_cutoff,clash_input_confs,clash_pass_confs,clash_fail_confs,clash_pass_rate,pb_input_confs,pb_pass_confs,pb_fail_confs,pb_pass_rate,pb_check_fail_counts_json,pb_check_fail_rates_json,post_pb_confs,mean_torsion_std_deg,pairwise_mean,pairwise_p90,greedy_clusters_0p5,clusters_per_100_0p5,cluster_entropy_0p5,largest_cluster_fraction_0p5,effective_clusters_0p5,simpson_concentration_0p5,singleton_fraction_0p5,greedy_clusters_1p0,clusters_per_100_1p0,cluster_entropy_1p0,largest_cluster_fraction_1p0,effective_clusters_1p0,simpson_concentration_1p0,singleton_fraction_1p0,greedy_clusters_2p0,clusters_per_100_2p0,cluster_entropy_2p0,largest_cluster_fraction_2p0,effective_clusters_2p0,simpson_concentration_2p0,singleton_fraction_2p0,greedy_clusters_3p0,clusters_per_100_3p0,cluster_entropy_3p0,largest_cluster_fraction_3p0,effective_clusters_3p0,simpson_concentration_3p0,singleton_fraction_3p0,energy_count,energy_min,energy_max,energy_median,energy_std,casf_best_rmsd,casf_median_rmsd,casf_hit_0p25,casf_hit_0p5,casf_hit_0p75,casf_hit_2p0,casf_opt_best_rmsd,casf_opt_median_rmsd,casf_opt_hit_0p25,casf_opt_hit_0p5,casf_opt_hit_0p75,casf_opt_hit_2p0,generated_candidates,finite_rejected,clash_rejected,bond_rejected,stereo_rejected,rmsd_rejected,pre_clash_passed,minimization_input_confs,minimization_failed,minimization_invalid,post_min_clash_rejected,kept_confs,num_target_confs,target_confs,ligand_set
1ado_1ado_conf0,generation,qwen_4b_4e_step20000,fixed,4b_4e_step20000,qwen_4b_4e_step20000_fixed,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_fixed,5,10,989,0.7,989,988,1,0.9989888776541962,1000,989,11,0.989,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":1,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":11,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.001,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.011,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",989,113.98025588821324,0.9868428543887566,1.3682841033540052,87.0,8.796764408493427,0.9061547523189912,0.07381193124368049,57.214299885448774,0.0244642534001417,0.08045977011494253,6.0,0.6066734074823054,0.9213185618901867,0.29120323559150657,5.211049408410139,0.2146861175662316,0.0,1.0,0.10111223458038422,0.0,1.0,1.0,1.0,0.0,1.0,0.10111223458038422,0.0,1.0,1.0,1.0,0.0,989,-62.81429021394932,46.52442782634169,-33.88100542106811,12.768105931730307,0.4774598317483926,0.9526848114186326,0.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,1000,0,0,0,0,989,1000,1000,ref
1ado_1ado_conf0,generation,qwen_4b_4e_step20000,dynamic,4b_4e_step20000,qwen_4b_4e_step20000_dynamic,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_dynamic,5,10,89,0.7,89,89,0,1.0,90,89,1,0.9888888888888888,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":1,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":1,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.011111111111111112,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.011111111111111112,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",89,115.53751379535892,1.0018674759276263,1.3758075139818027,36.0,40.449438202247194,0.9517810192298451,0.0898876404494382,30.287203836055,0.038757732609518994,0.3055555555555556,5.0,5.617977528089888,0.9329195380638918,0.3595505617977528,4.488309258943262,0.24403484408534276,0.0,1.0,1.1235955056179776,0.0,1.0,1.0,1.0,0.0,1.0,1.1235955056179776,0.0,1.0,1.0,1.0,0.0,89,-57.34741040700374,22.352025536235583,-33.75609242257127,12.58747082927581,0.5317307842755341,0.9359546743499687,0.0,0.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,90,0,0,0,0,89,90,90,ref
1ado_1ado_conf0,generation,qwen_4b_4e_step20000,chembl_count,4b_4e_step20000,qwen_4b_4e_step20000_chembl_count,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_chembl_count,5,10,7,0.7,7,7,0,1.0,7,7,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",7,111.18748563904798,1.0229919640519467,1.4490767582571462,7.0,100.0,0.9999999999999999,0.14285714285714285,6.999999999999998,0.14285714285714285,1.0,3.0,42.857142857142854,0.914100892018565,0.42857142857142855,2.729838563103603,0.3877551020408163,0.3333333333333333,1.0,14.285714285714286,0.0,1.0,1.0,1.0,0.0,1.0,14.285714285714286,0.0,1.0,1.0,1.0,0.0,7,-48.91612213092627,-19.044814558043672,-39.85022793105291,9.64166080988321,0.8365816670354421,0.9015931771056598,0.0,0.0,0.0,1.0,,,,,,,1000,0,0,0,0,0,7,0,0,0,0,7,7,7,ref
1ai4_1ai4_conf0,generation,qwen_4b_4e_step20000,fixed,4b_4e_step20000,qwen_4b_4e_step20000_fixed,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_fixed,4,12,999,0.7,999,999,0,1.0,1000,999,1,0.999,"{""all_atoms_connected"":0,""bond_angles"":1,""bond_lengths"":1,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":1,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":1,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":1,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.001,""bond_lengths"":0.001,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.001,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.001,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.001,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",999,92.54086147784484,0.7621212413281429,1.1115895810771608,10.0,1.001001001001001,0.9030161317152947,0.24424424424424424,7.998639651200014,0.1431511591671752,0.0,3.0,0.3003003003003003,0.920863516617605,0.43743743743743746,2.75019543256933,0.3839805771737704,0.0,1.0,0.1001001001001001,0.0,1.0,1.0,1.0,0.0,1.0,0.1001001001001001,0.0,1.0,1.0,1.0,0.0,999,42.23445236451359,69.74323319067275,50.48427011944419,4.167695475427916,0.17183944725895553,0.7867566715201395,1.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,1000,0,0,0,0,999,1000,1000,ref
1ai4_1ai4_conf0,generation,qwen_4b_4e_step20000,dynamic,4b_4e_step20000,qwen_4b_4e_step20000_dynamic,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_dynamic,4,12,68,0.7,68,68,0,1.0,68,68,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",68,91.81020350208071,0.7376408617167747,1.1109879237568923,9.0,13.235294117647058,0.8117310027710369,0.3382352941176471,5.950976415112462,0.21539792387543255,0.1111111111111111,2.0,2.9411764705882355,0.9843432030984678,0.5735294117647058,1.9784124218309056,0.5108131487889274,0.0,1.0,1.4705882352941178,0.0,1.0,1.0,1.0,0.0,1.0,1.4705882352941178,0.0,1.0,1.0,1.0,0.0,68,44.0950615982302,60.946000725682126,50.33312243686138,3.655766724827299,0.37323745206882364,0.8342943038934971,0.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,68,0,0,0,0,68,68,68,ref
1ai4_1ai4_conf0,generation,qwen_4b_4e_step20000,chembl_count,4b_4e_step20000,qwen_4b_4e_step20000_chembl_count,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_chembl_count,4,12,8,0.7,8,8,0,1.0,8,8,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",8,84.77150730136472,0.7091881652582451,1.0778983448793817,3.0,37.5,0.8194483718728035,0.625,2.4602329762891006,0.46875,0.3333333333333333,2.0,25.0,0.954434002924965,0.625,1.9378192408783848,0.53125,0.0,1.0,12.5,0.0,1.0,1.0,1.0,0.0,1.0,12.5,0.0,1.0,1.0,1.0,0.0,8,45.94065209340382,52.19150402196851,49.36134971715941,1.7413911453707311,0.3495898739281281,0.5409476041331718,0.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,8,0,0,0,0,8,8,8,ref
1ai5_1ai5_conf0,generation,qwen_4b_4e_step20000,fixed,4b_4e_step20000,qwen_4b_4e_step20000_fixed,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_fixed,3,13,998,0.7,998,998,0,1.0,999,998,1,0.998998998998999,"{""all_atoms_connected"":0,""bond_angles"":1,""bond_lengths"":1,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":1,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.001001001001001001,""bond_lengths"":0.001001001001001001,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.001001001001001001,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",998,98.96215296754313,0.7674304667357205,1.0788601560384243,18.0,1.8036072144288577,0.866792960968378,0.20841683366733466,12.247892658640847,0.10352970469998111,0.0,2.0,0.20040080160320642,0.9999275746290556,0.5050100200400801,1.9998995996368003,0.5000502006016039,0.0,1.0,0.10020040080160321,0.0,1.0,1.0,1.0,0.0,1.0,0.10020040080160321,0.0,1.0,1.0,1.0,0.0,998,50.46204312383274,106.70370862680164,60.689598596478824,5.950519926335078,0.19215836983427953,0.8248684039137251,1.0,1.0,1.0,1.0,,,,,,,999,0,0,0,0,0,999,0,0,0,0,998,1000,1000,ref
1ai5_1ai5_conf0,generation,qwen_4b_4e_step20000,dynamic,4b_4e_step20000,qwen_4b_4e_step20000_dynamic,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_dynamic,3,13,46,0.7,46,46,0,1.0,46,46,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",46,101.1673109944025,0.7813231040738161,1.0806548363881805,10.0,21.73913043478261,0.8749335959639151,0.2826086956521739,7.497795585655746,0.1597353497164461,0.3,2.0,4.3478260869565215,0.9321115676166747,0.6521739130434783,1.9080666514863638,0.5463137996219282,0.0,1.0,2.1739130434782608,0.0,1.0,1.0,1.0,0.0,1.0,2.1739130434782608,0.0,1.0,1.0,1.0,0.0,46,53.46909740328511,79.77119656511282,62.391995130433266,5.809255076981513,0.2150835061894485,0.8612210760173163,1.0,1.0,1.0,1.0,,,,,,,999,0,0,0,0,0,46,0,0,0,0,46,46,46,ref
1ai5_1ai5_conf0,generation,qwen_4b_4e_step20000,chembl_count,4b_4e_step20000,qwen_4b_4e_step20000_chembl_count,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_chembl_count,3,13,2,0.7,2,2,0,1.0,2,2,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",2,38.700457296524895,0.7861064093153124,0.7861064093153124,2.0,100.0,1.0,0.5,2.0,0.5,1.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,2,59.08772953659919,61.40980240605275,60.248765971325966,1.1610364347267783,0.5199519458964311,0.7167356931060163,0.0,0.0,1.0,1.0,,,,,,,999,0,0,0,0,0,2,0,0,0,0,2,2,2,ref
1azm_1azm_conf0,generation,qwen_4b_4e_step20000,fixed,4b_4e_step20000,qwen_4b_4e_step20000_fixed,Qwen 4B 4e (step 20000),qwen_4b_4e_step20000_fixed,3,13,467,0.7,467,441,26,0.9443254817987152,1000,467,533,0.467,"{""all_atoms_connected"":0,""bond_angles"":4,""bond_lengths"":3,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":3,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":532,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.004,""bond_lengths"":0.003,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.003,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.532,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",467,111.98878613015093,0.8182687959481821,1.392904033268765,18.0,3.854389721627409,0.6246740413951707,0.4346895074946467,6.08325677980436,0.2512964890480492,0.2222222222222222,9.0,1.9271948608137044,0.535388164534817,0.5845824411134903,3.24257586346273,0.40990146224706425,0.2222222222222222,1.0,0.21413276231263384,0.0,1.0,1.0,1.0,0.0,1.0,0.21413276231263384,0.0,1.0,1.0,1.0,0.0,467,46.25040771359433,619045.9723527413,69.00907206236973,28611.9297462209,0.23047209159567886,0.9872241671155625,1.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,1000,0,0,0,0,467,1000,1000,ref
