mol_id,row_type,family,tier,variant,method,display_label,source,rotatable_bonds,heavy_atoms,conformer_count,clash_cutoff,clash_input_confs,clash_pass_confs,clash_fail_confs,clash_pass_rate,pb_input_confs,pb_pass_confs,pb_fail_confs,pb_pass_rate,pb_check_fail_counts_json,pb_check_fail_rates_json,post_pb_confs,mean_torsion_std_deg,pairwise_mean,pairwise_p90,greedy_clusters_0p5,clusters_per_100_0p5,cluster_entropy_0p5,largest_cluster_fraction_0p5,effective_clusters_0p5,simpson_concentration_0p5,singleton_fraction_0p5,greedy_clusters_1p0,clusters_per_100_1p0,cluster_entropy_1p0,largest_cluster_fraction_1p0,effective_clusters_1p0,simpson_concentration_1p0,singleton_fraction_1p0,greedy_clusters_2p0,clusters_per_100_2p0,cluster_entropy_2p0,largest_cluster_fraction_2p0,effective_clusters_2p0,simpson_concentration_2p0,singleton_fraction_2p0,greedy_clusters_3p0,clusters_per_100_3p0,cluster_entropy_3p0,largest_cluster_fraction_3p0,effective_clusters_3p0,simpson_concentration_3p0,singleton_fraction_3p0,energy_count,energy_min,energy_max,energy_median,energy_std,casf_best_rmsd,casf_median_rmsd,casf_hit_0p25,casf_hit_0p5,casf_hit_0p75,casf_hit_2p0,casf_opt_best_rmsd,casf_opt_median_rmsd,casf_opt_hit_0p25,casf_opt_hit_0p5,casf_opt_hit_0p75,casf_opt_hit_2p0,generated_candidates,finite_rejected,clash_rejected,bond_rejected,stereo_rejected,rmsd_rejected,pre_clash_passed,minimization_input_confs,minimization_failed,minimization_invalid,post_min_clash_rejected,kept_confs,num_target_confs,target_confs,ligand_set
1bcu_1bcu_conf0,generation,qwen_4b_bigdata_step110000,fixed,4b_bigdata_step110000,qwen_4b_bigdata_step110000_fixed,Qwen 4B bigdata (step 110000),qwen_4b_bigdata_step110000_fixed,2,16,997,0.7,997,997,0,1.0,1000,997,3,0.997,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":3,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":1,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.003,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.001,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",997,,0.12953578694235024,0.20060436402077192,1.0,0.10030090270812438,0.0,1.0,1.0,1.0,0.0,1.0,0.10030090270812438,0.0,1.0,1.0,1.0,0.0,1.0,0.10030090270812438,0.0,1.0,1.0,1.0,0.0,1.0,0.10030090270812438,0.0,1.0,1.0,1.0,0.0,997,41.88145995654382,270.306353101564,58.87743244622462,15.93754651189412,0.05080768675450945,0.0894032484962469,1.0,1.0,1.0,1.0,0.043011327274074716,0.09008310021477313,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,997,1000,1000,core
1bcu_1bcu_conf0,generation,qwen_4b_bigdata_step110000,dynamic,4b_bigdata_step110000,qwen_4b_bigdata_step110000_dynamic,Qwen 4B bigdata (step 110000),qwen_4b_bigdata_step110000_dynamic,2,16,24,0.7,24,24,0,1.0,24,24,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",24,,0.14287576998693843,0.20024936760892892,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,1.0,4.166666666666667,0.0,1.0,1.0,1.0,0.0,24,48.97889880293431,74.7345240710927,61.60229681782402,7.731151276104339,0.05783117266357073,0.08885130647494649,1.0,1.0,1.0,1.0,0.062311810735098075,0.09512366021793334,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,24,0,0,0,0,24,24,24,core
1bcu_1bcu_conf0,generation,qwen_4b_bigdata_step110000,chembl_count,4b_bigdata_step110000,qwen_4b_bigdata_step110000_chembl_count,Qwen 4B bigdata (step 110000),qwen_4b_bigdata_step110000_chembl_count,2,16,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,44.69025499133072,44.69025499133072,44.69025499133072,0.0,0.06616356739653831,0.06616356739653831,1.0,1.0,1.0,1.0,0.058216502272230734,0.058216502272230734,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1c5z_1c5z_conf0,generation,qwen_4b_bigdata_step110000,fixed,4b_bigdata_step110000,qwen_4b_bigdata_step110000_fixed,Qwen 4B bigdata (step 110000),qwen_4b_bigdata_step110000_fixed,1,9,999,0.7,999,999,0,1.0,1000,999,1,0.999,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":1,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.001,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",999,105.50278150902786,0.32573866983958827,0.5858451713301569,3.0,0.3003003003003003,0.6938121690758637,0.5425425425425425,2.14305112933853,0.4886297709120532,0.0,1.0,0.1001001001001001,0.0,1.0,1.0,1.0,0.0,1.0,0.1001001001001001,0.0,1.0,1.0,1.0,0.0,1.0,0.1001001001001001,0.0,1.0,1.0,1.0,0.0,999,19.49367392336817,152.40690084966667,26.926719403077236,7.638749337899776,0.04251508989958584,0.242380531922972,1.0,1.0,1.0,1.0,0.05413466182685581,0.24976421305603666,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,999,1000,1000,core
1c5z_1c5z_conf0,generation,qwen_4b_bigdata_step110000,dynamic,4b_bigdata_step110000,qwen_4b_bigdata_step110000_dynamic,Qwen 4B bigdata (step 110000),qwen_4b_bigdata_step110000_dynamic,1,9,2,0.7,2,2,0,1.0,2,2,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",2,56.847678152266255,0.5603235353705112,0.5603235353705112,2.0,100.0,1.0,0.5,2.0,0.5,1.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,2,26.264034350737973,29.852554650193053,28.058294500465514,1.79426014972754,0.26364247957476267,0.2936126082197571,0.0,1.0,1.0,1.0,0.28038927371179445,0.29299392566267357,0.0,1.0,1.0,1.0,1000,0,0,0,0,0,2,0,0,0,0,2,2,2,core
1c5z_1c5z_conf0,generation,qwen_4b_bigdata_step110000,chembl_count,4b_bigdata_step110000,qwen_4b_bigdata_step110000_chembl_count,Qwen 4B bigdata (step 110000),qwen_4b_bigdata_step110000_chembl_count,1,9,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,0.0,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,26.148934356161124,26.148934356161124,26.148934356161124,0.0,0.149161926581673,0.149161926581673,1.0,1.0,1.0,1.0,0.2028790406356197,0.2028790406356197,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1lpg_1lpg_conf0,generation,qwen_4b_bigdata_step110000,fixed,4b_bigdata_step110000,qwen_4b_bigdata_step110000_fixed,Qwen 4B bigdata (step 110000),qwen_4b_bigdata_step110000_fixed,10,41,813,0.7,813,800,13,0.984009840098401,998,813,185,0.814629258517034,"{""all_atoms_connected"":0,""bond_angles"":28,""bond_lengths"":14,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":79,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":171,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":23,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.028056112224448898,""bond_lengths"":0.014028056112224449,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.07915831663326653,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.1713426853707415,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.023046092184368736,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",813,95.17404238994705,2.8098212750769784,3.7169891348423394,810.0,99.6309963099631,0.9997881725830395,0.0024600246002460025,808.8517361375646,0.0012390898816737246,0.9962962962962963,566.0,69.61869618696187,0.9739464373134921,0.012300123001230012,479.8392346758146,0.0026430891615189214,0.7473498233215548,33.0,4.059040590405904,0.8906262475597185,0.0910209102091021,22.51274085196749,0.05299643402338083,0.06060606060606061,5.0,0.6150061500615006,0.8396205891559329,0.37884378843788435,3.8625099112802235,0.3005572122141885,0.0,813,104.79147394843119,189904.00926955644,143.18174735298095,6716.830675050781,0.7250916545129561,2.3783437055002796,0.0,0.0,1.0,1.0,0.7034252746907134,2.4077431136060534,0.0,0.0,1.0,1.0,998,0,0,0,0,0,998,0,0,0,0,813,1000,1000,core
1lpg_1lpg_conf0,generation,qwen_4b_bigdata_step110000,dynamic,4b_bigdata_step110000,qwen_4b_bigdata_step110000_dynamic,Qwen 4B bigdata (step 110000),qwen_4b_bigdata_step110000_dynamic,10,41,164,0.7,164,161,3,0.9817073170731707,200,164,36,0.82,"{""all_atoms_connected"":0,""bond_angles"":7,""bond_lengths"":1,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":15,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":33,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":1,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.035,""bond_lengths"":0.005,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.075,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.165,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.005,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",164,93.86779916959027,2.785707848571322,3.6386715385703603,163.0,99.39024390243902,0.9995412442134941,0.012195121951219513,162.6195483475531,0.006171921475312314,0.9938650306748467,145.0,88.41463414634147,0.9869249932430479,0.024390243902439025,135.86515888524528,0.00817965496728138,0.9241379310344827,24.0,14.634146341463415,0.8987805228730101,0.1524390243902439,17.39830666460642,0.07354253420582987,0.125,5.0,3.048780487804878,0.8405116487266144,0.3597560975609756,3.8680531300991303,0.29335217132659125,0.0,164,112.75414705327978,189904.00926955644,142.44254653952584,14777.309538841635,1.2922407846771315,2.3650966658664645,0.0,0.0,0.0,1.0,1.3426757842682238,2.396218686010079,0.0,0.0,0.0,1.0,998,0,0,0,0,0,200,0,0,0,0,164,200,200,core
1lpg_1lpg_conf0,generation,qwen_4b_bigdata_step110000,chembl_count,4b_bigdata_step110000,qwen_4b_bigdata_step110000_chembl_count,Qwen 4B bigdata (step 110000),qwen_4b_bigdata_step110000_chembl_count,10,41,154,0.7,154,153,1,0.9935064935064936,193,154,39,0.7979274611398963,"{""all_atoms_connected"":0,""bond_angles"":6,""bond_lengths"":2,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":15,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":37,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":3,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.031088082901554404,""bond_lengths"":0.010362694300518135,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.07772020725388601,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.19170984455958548,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.015544041450777202,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",154,94.95155384412229,2.778980248558399,3.6770430998906494,154.0,100.0,1.0,0.006493506493506494,154.00000000000006,0.006493506493506494,1.0,142.0,92.20779220779221,0.9927561427313059,0.025974025974025976,136.9927156186415,0.007758475290942823,0.9295774647887324,19.0,12.337662337662337,0.910685646451448,0.12337662337662338,14.606378475299644,0.07927137797267667,0.10526315789473684,3.0,1.948051948051948,0.9612252330919218,0.474025974025974,2.8748883918009867,0.3632147073705515,0.0,154,111.53797910265367,304.77127722954225,143.91932555693427,30.247016474461866,1.178360969048066,2.3785659976562172,0.0,0.0,0.0,1.0,1.230460331096209,2.3867603275937026,0.0,0.0,0.0,1.0,998,0,0,0,0,0,193,0,0,0,0,154,193,193,core
1mq6_1mq6_conf0,generation,qwen_4b_bigdata_step110000,fixed,4b_bigdata_step110000,qwen_4b_bigdata_step110000_fixed,Qwen 4B bigdata (step 110000),qwen_4b_bigdata_step110000_fixed,7,36,648,0.7,648,611,37,0.9429012345679012,994,648,346,0.6519114688128773,"{""all_atoms_connected"":0,""bond_angles"":38,""bond_lengths"":21,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":47,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":335,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":1,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.03822937625754527,""bond_lengths"":0.02112676056338028,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.047283702213279676,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.33702213279678067,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.001006036217303823,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",648,92.76089615518629,2.1309603326138418,2.7133731793747073,636.0,98.14814814814815,0.998668523034774,0.004629629629629629,630.5570374471521,0.0016098917847889036,0.9842767295597484,291.0,44.907407407407405,0.9662558364250897,0.015432098765432098,240.29845633897435,0.004982091144642584,0.41924398625429554,14.0,2.1604938271604937,0.850930519540814,0.25,9.446595618488479,0.1282007315957933,0.14285714285714285,3.0,0.46296296296296297,0.5982464902944539,0.6620370370370371,1.9294614950786773,0.5504448635878677,0.0,648,5.577423582012258,482301.05937735003,37.475832180381666,19061.958366923787,1.0861255120491335,1.98943407092472,0.0,0.0,0.0,1.0,1.062446589470668,1.960980675550685,0.0,0.0,0.0,1.0,994,0,0,0,0,0,994,0,0,0,0,648,1000,1000,core
