mol_id,row_type,family,tier,variant,method,display_label,source,rotatable_bonds,heavy_atoms,conformer_count,clash_cutoff,clash_input_confs,clash_pass_confs,clash_fail_confs,clash_pass_rate,pb_input_confs,pb_pass_confs,pb_fail_confs,pb_pass_rate,pb_check_fail_counts_json,pb_check_fail_rates_json,post_pb_confs,mean_torsion_std_deg,pairwise_mean,pairwise_p90,greedy_clusters_0p5,clusters_per_100_0p5,cluster_entropy_0p5,largest_cluster_fraction_0p5,effective_clusters_0p5,simpson_concentration_0p5,singleton_fraction_0p5,greedy_clusters_1p0,clusters_per_100_1p0,cluster_entropy_1p0,largest_cluster_fraction_1p0,effective_clusters_1p0,simpson_concentration_1p0,singleton_fraction_1p0,greedy_clusters_2p0,clusters_per_100_2p0,cluster_entropy_2p0,largest_cluster_fraction_2p0,effective_clusters_2p0,simpson_concentration_2p0,singleton_fraction_2p0,greedy_clusters_3p0,clusters_per_100_3p0,cluster_entropy_3p0,largest_cluster_fraction_3p0,effective_clusters_3p0,simpson_concentration_3p0,singleton_fraction_3p0,energy_count,energy_min,energy_max,energy_median,energy_std,casf_best_rmsd,casf_median_rmsd,casf_hit_0p25,casf_hit_0p5,casf_hit_0p75,casf_hit_2p0,casf_opt_best_rmsd,casf_opt_median_rmsd,casf_opt_hit_0p25,casf_opt_hit_0p5,casf_opt_hit_0p75,casf_opt_hit_2p0,generated_candidates,finite_rejected,clash_rejected,bond_rejected,stereo_rejected,rmsd_rejected,pre_clash_passed,minimization_input_confs,minimization_failed,minimization_invalid,post_min_clash_rejected,kept_confs,num_target_confs,target_confs,ligand_set
1ado_1ado_conf0,generation,torsional_diffusion_raw,fixed,,torsional_diffusion_raw_fixed,Torsional Diffusion,torsional_diffusion_raw_fixed,5,10,852,0.7,852,846,6,0.9929577464788732,1000,852,148,0.852,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":107,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":122,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.107,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.122,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",852,101.88271746679334,1.0776425331683057,1.4499679250198676,102.0,11.971830985915492,0.9308068024580926,0.03755868544600939,74.0659680177096,0.016464987105732985,0.11764705882352941,7.0,0.8215962441314554,0.9243677340315862,0.29577464788732394,6.04200889471779,0.18677951905486126,0.0,1.0,0.11737089201877934,0.0,1.0,1.0,1.0,0.0,1.0,0.11737089201877934,0.0,1.0,1.0,1.0,0.0,852,-22.328994644779584,3440.6350526531473,9.832346462008292,147.0473653680439,0.3846879365466223,1.0312572194070542,0.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,1000,0,0,0,0,852,1000,1000,ref
1ado_1ado_conf0,generation,torsional_diffusion_raw,dynamic,,torsional_diffusion_raw_dynamic,Torsional Diffusion,torsional_diffusion_raw_dynamic,5,10,74,0.7,74,74,0,1.0,90,74,16,0.8222222222222222,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":12,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":13,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.13333333333333333,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.14444444444444443,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",74,101.53781499706922,1.0828256223918782,1.4294378857220975,36.0,48.648648648648646,0.9676948798805431,0.05405405405405406,32.064609966858086,0.03433162892622353,0.3611111111111111,5.0,6.756756756756757,0.953740519475059,0.2702702702702703,4.641261251139742,0.22425127830533237,0.0,1.0,1.3513513513513513,0.0,1.0,1.0,1.0,0.0,1.0,1.3513513513513513,0.0,1.0,1.0,1.0,0.0,74,-22.328994644779584,97.7076545073133,9.784372833980687,20.867270632622176,0.7245067415763617,0.9968275410728595,0.0,0.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,90,0,0,0,0,74,90,90,ref
1ado_1ado_conf0,generation,torsional_diffusion_raw,chembl_count,,torsional_diffusion_raw_chembl_count,Torsional Diffusion,torsional_diffusion_raw_chembl_count,5,10,4,0.7,4,4,0,1.0,7,4,3,0.5714285714285714,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":3,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":3,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.42857142857142855,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.42857142857142855,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",4,82.10178381919631,1.196260432938886,1.326821386200598,4.0,100.0,1.0,0.25,4.0,0.25,1.0,4.0,100.0,1.0,0.25,4.0,0.25,1.0,1.0,25.0,0.0,1.0,1.0,1.0,0.0,1.0,25.0,0.0,1.0,1.0,1.0,0.0,4,-17.74048972245221,25.012993321691013,-1.9599236218525995,15.407920159089723,0.7336174694118796,1.0217433256791577,0.0,0.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,7,0,0,0,0,4,7,7,ref
1ai4_1ai4_conf0,generation,torsional_diffusion_raw,fixed,,torsional_diffusion_raw_fixed,Torsional Diffusion,torsional_diffusion_raw_fixed,4,12,997,0.7,997,997,0,1.0,1000,997,3,0.997,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":3,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.003,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",997,115.12538166769437,0.7526226730585062,1.097405175100466,12.0,1.2036108324974926,0.8718356002388827,0.19558676028084251,8.727073415099648,0.13217888369219993,0.0,2.0,0.20060180541624875,0.9997902639348527,0.5085255767301906,1.9997092652092905,0.5001453709171648,0.0,1.0,0.10030090270812438,0.0,1.0,1.0,1.0,0.0,1.0,0.10030090270812438,0.0,1.0,1.0,1.0,0.0,997,50.06691030216588,150.86103197777734,63.84228476218456,7.79536612759255,0.15700302592393373,0.7812979628718264,1.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,1000,0,0,0,0,997,1000,1000,ref
1ai4_1ai4_conf0,generation,torsional_diffusion_raw,dynamic,,torsional_diffusion_raw_dynamic,Torsional Diffusion,torsional_diffusion_raw_dynamic,4,12,68,0.7,68,68,0,1.0,68,68,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",68,115.9140505253119,0.7578163911023519,1.1202462490499443,8.0,11.764705882352942,0.8771466048701085,0.3088235294117647,6.196440958712774,0.1920415224913495,0.125,2.0,2.9411764705882355,1.0,0.5,2.0,0.5,0.0,1.0,1.4705882352941178,0.0,1.0,1.0,1.0,0.0,1.0,1.4705882352941178,0.0,1.0,1.0,1.0,0.0,68,51.80427766129349,84.67798479289033,63.102020833120385,6.764061270637499,0.2057927931042355,0.7503111027436564,1.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,68,0,0,0,0,68,68,68,ref
1ai4_1ai4_conf0,generation,torsional_diffusion_raw,chembl_count,,torsional_diffusion_raw_chembl_count,Torsional Diffusion,torsional_diffusion_raw_chembl_count,4,12,8,0.7,8,8,0,1.0,8,8,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",8,111.11827719422806,0.7731870854863228,1.051165293802343,4.0,50.0,0.9056390622295665,0.375,3.509530701206647,0.3125,0.5,2.0,25.0,0.5435644431995964,0.875,1.4575692649810903,0.78125,0.5,1.0,12.5,0.0,1.0,1.0,1.0,0.0,1.0,12.5,0.0,1.0,1.0,1.0,0.0,8,57.291618001264666,72.68916212693395,62.66250950827441,5.335372720931274,0.3243661911073971,0.6746946024974152,0.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,8,0,0,0,0,8,8,8,ref
1ai5_1ai5_conf0,generation,torsional_diffusion_raw,fixed,,torsional_diffusion_raw_fixed,Torsional Diffusion,torsional_diffusion_raw_fixed,3,13,1000,0.7,1000,1000,0,1.0,1000,1000,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1000,103.52591975598712,0.7597619825963374,1.1139250049429845,13.0,1.3,0.8208399215878518,0.257,8.21049184291979,0.16122999999999998,0.0,3.0,0.3,0.9157150968052485,0.443,2.7346839135175087,0.387018,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1000,94.45187752127353,159.2252679700403,103.57538409668439,6.300523665407597,0.20461207928123168,0.8419720879937338,1.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,1000,0,0,0,0,1000,1000,1000,ref
1ai5_1ai5_conf0,generation,torsional_diffusion_raw,dynamic,,torsional_diffusion_raw_dynamic,Torsional Diffusion,torsional_diffusion_raw_dynamic,3,13,46,0.7,46,46,0,1.0,46,46,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",46,98.55732416473306,0.7211752904968073,1.0917223580201276,7.0,15.217391304347826,0.8045631106799461,0.391304347826087,4.785581401921923,0.2608695652173913,0.14285714285714285,2.0,4.3478260869565215,0.9656361333706097,0.6086956521739131,1.9529244426221104,0.5236294896030247,0.0,1.0,2.1739130434782608,0.0,1.0,1.0,1.0,0.0,1.0,2.1739130434782608,0.0,1.0,1.0,1.0,0.0,46,96.57471270121522,124.09348918083786,103.31081697945679,6.008701767446228,0.20461207928123168,0.7994606847226859,1.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,46,0,0,0,0,46,46,46,ref
1ai5_1ai5_conf0,generation,torsional_diffusion_raw,chembl_count,,torsional_diffusion_raw_chembl_count,Torsional Diffusion,torsional_diffusion_raw_chembl_count,3,13,2,0.7,2,2,0,1.0,2,2,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",2,44.20857331332803,0.9436196210699977,0.9436196210699977,2.0,100.0,1.0,0.5,2.0,0.5,1.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,2,108.05582667057072,116.4827294926568,112.26927808161376,4.213451411043039,0.960907498336153,1.0000975399436196,0.0,0.0,0.0,1.0,,,,,,,1000,0,0,0,0,0,2,0,0,0,0,2,2,2,ref
1azm_1azm_conf0,generation,torsional_diffusion_raw,fixed,,torsional_diffusion_raw_fixed,Torsional Diffusion,torsional_diffusion_raw_fixed,3,13,486,0.7,486,470,16,0.9670781893004116,1000,486,514,0.486,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":1,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":514,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.001,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.514,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",486,113.02632939496525,1.0411300559691208,1.389848168740654,29.0,5.967078189300412,0.7993285870406789,0.14609053497942387,14.754908659988693,0.08688546800115159,0.2413793103448276,9.0,1.8518518518518519,0.8240937573521204,0.28189300411522633,6.114842776469591,0.19288218259411674,0.0,1.0,0.205761316872428,0.0,1.0,1.0,1.0,0.0,1.0,0.205761316872428,0.0,1.0,1.0,1.0,0.0,486,-17.589732325284515,81.43576978510708,21.76924628473044,21.424192139174593,0.21416212467364268,1.062834924413373,1.0,1.0,1.0,1.0,,,,,,,1000,0,0,0,0,0,1000,0,0,0,0,486,1000,1000,ref
